node,node_type,activators,inhibitors,formula
low red light to far,,,,low red light to far = gene_modifier + exogenous_supply
miR156,,,,miR156 = gene_modifier + exogenous_supply
EBE; (ERF114,,,,EBE; (ERF114 = gene_modifier + exogenous_supply
CLAMT,,,,CLAMT = gene_modifier + exogenous_supply
nutrient availabilit,,,,nutrient availabilit = gene_modifier + exogenous_supply
FHY3,,,,FHY3 = gene_modifier + exogenous_supply
CN,,,,CN = gene_modifier + exogenous_supply
bioactive substance,,,,bioactive substance = gene_modifier + exogenous_supply
ASU1,,,,ASU1 = gene_modifier + exogenous_supply
LBO,,,,LBO = gene_modifier + exogenous_supply
Overexpression of Gh,,,,Overexpression of Gh = gene_modifier + exogenous_supply
HXK1,,,,HXK1 = gene_modifier + exogenous_supply
PERK12,,,,PERK12 = gene_modifier + exogenous_supply
PIN1,,,,PIN1 = gene_modifier + exogenous_supply
MIR171C,,,,MIR171C = gene_modifier + exogenous_supply
BPTCP19,,,,BPTCP19 = gene_modifier + exogenous_supply
exogenous applicatio,,,,exogenous applicatio = gene_modifier + exogenous_supply
Sucrose,,,,Sucrose = gene_modifier + exogenous_supply
AUX,,,,AUX = gene_modifier + exogenous_supply
production of long-d,,,,production of long-d = gene_modifier + exogenous_supply
Auxin,,,,Auxin = gene_modifier + exogenous_supply
environmental condit,,,,environmental condit = gene_modifier + exogenous_supply
A1,,,,A1 = gene_modifier + exogenous_supply
PHYB,,,,PHYB = gene_modifier + exogenous_supply
MECLA,,,,MECLA = gene_modifier + exogenous_supply
CYP86A8,,,,CYP86A8 = gene_modifier + exogenous_supply
CARLACTONE,,,,CARLACTONE = gene_modifier + exogenous_supply
DEFOLIATION,,,,DEFOLIATION = gene_modifier + exogenous_supply
Overexpression of Cm,,,,Overexpression of Cm = gene_modifier + exogenous_supply
Overexpression of At,,,,Overexpression of At = gene_modifier + exogenous_supply
ASL39,,,,ASL39 = gene_modifier + exogenous_supply
BPTCP8,,,,BPTCP8 = gene_modifier + exogenous_supply
(2R)-isomers,,,,(2R)-isomers = gene_modifier + exogenous_supply
SPL15,,,,SPL15 = gene_modifier + exogenous_supply
cryptochrome 1,,,,cryptochrome 1 = gene_modifier + exogenous_supply
PMF,,,,PMF = gene_modifier + exogenous_supply
D14,,,,D14 = gene_modifier + exogenous_supply
BPTCP14,,,,BPTCP14 = gene_modifier + exogenous_supply
Loss-of-function in ,,,,Loss-of-function in  = gene_modifier + exogenous_supply
Altered carotenoid p,,,,Altered carotenoid p = gene_modifier + exogenous_supply
alterations in carbo,,,,alterations in carbo = gene_modifier + exogenous_supply
CAND1,,,,CAND1 = gene_modifier + exogenous_supply
SMAX1,,,,SMAX1 = gene_modifier + exogenous_supply
remaining MeCLA,,,,remaining MeCLA = gene_modifier + exogenous_supply
Undefined hormone,,,,Undefined hormone = gene_modifier + exogenous_supply
initiation and growt,,,,initiation and growt = gene_modifier + exogenous_supply
A. thaliana,,,,A. thaliana = gene_modifier + exogenous_supply
Gibberellin,,,,Gibberellin = gene_modifier + exogenous_supply
CUC3,,,,CUC3 = gene_modifier + exogenous_supply
CLE42,,,,CLE42 = gene_modifier + exogenous_supply
VCTCP18,,,,VCTCP18 = gene_modifier + exogenous_supply
EBE,,,,EBE = gene_modifier + exogenous_supply
CUC2,,,,CUC2 = gene_modifier + exogenous_supply
Overexpression of Md,,,,Overexpression of Md = gene_modifier + exogenous_supply
SPL9,,,,SPL9 = gene_modifier + exogenous_supply
Verticillium longisp,,,,Verticillium longisp = gene_modifier + exogenous_supply
SUGARS,,,,SUGARS = gene_modifier + exogenous_supply
R_FR_Ratio,,,,R_FR_Ratio = gene_modifier + exogenous_supply
TDIF,,,,TDIF = gene_modifier + exogenous_supply
ARR1,,,,ARR1 = gene_modifier + exogenous_supply
RanBP domain-contain,,,,RanBP domain-contain = gene_modifier + exogenous_supply
ABA,,,,ABA = gene_modifier + exogenous_supply
BRCA1,,,,BRCA1 = gene_modifier + exogenous_supply
CLE41,,,,CLE41 = gene_modifier + exogenous_supply
Red Light,,,,Red Light = gene_modifier + exogenous_supply
BRC2,,,,BRC2 = gene_modifier + exogenous_supply
ERF114,,,,ERF114 = gene_modifier + exogenous_supply
IPT,,,,IPT = gene_modifier + exogenous_supply
MBD9,,,,MBD9 = gene_modifier + exogenous_supply
MAX1,,,,MAX1 = gene_modifier + exogenous_supply
Decapitation,,,,Decapitation = gene_modifier + exogenous_supply
AXR1,,,,AXR1 = gene_modifier + exogenous_supply
AMS,,,,AMS = gene_modifier + exogenous_supply
CUC1,,,,CUC1 = gene_modifier + exogenous_supply
AP2,,,,AP2 = gene_modifier + exogenous_supply
BRC,,,,BRC = gene_modifier + exogenous_supply
BrMYC2/3-1OE,,,,BrMYC2/3-1OE = gene_modifier + exogenous_supply
