node,node_type,activators,inhibitors,formula
FLC,,"FRI,SVP","VIN3,PRC2,FCA,FPA,FLD,FVE,LD","FLC = (max(FRI, 0.01) * max(SVP, 0.01))^(1/2) * min(1/max(VIN3 * PRC2 * FCA * FPA * FLD * FVE * LD, 0.1), 10.0) * gene_modifier + exogenous_supply"
SVP,,,"Warm_Temperature,FCA,FVE,SOC1","SVP = 1.0 * min(1/max(Warm_Temperature * FCA * FVE * SOC1, 0.1), 10.0) * gene_modifier + exogenous_supply"
PIF4,,Warm_Temperature,"DELLA,GI","PIF4 = max(Warm_Temperature, 0.01)^(1/1) * min(1/max(DELLA * GI, 0.1), 10.0) * gene_modifier + exogenous_supply"
Gibberellin,,GA20OX,GA2OX,"Gibberellin = max(GA20OX, 0.01)^(1/1) * min(1/max(GA2OX, 0.1), 10.0) * gene_modifier + exogenous_supply"
GID1,,Gibberellin,,"GID1 = max(Gibberellin, 0.01)^(1/1) * gene_modifier + exogenous_supply"
DELLA,,,"GID1,SLY1","DELLA = 1.0 * min(1/max(GID1 * SLY1, 0.1), 10.0) * gene_modifier + exogenous_supply"
SPL9,,,"DELLA,miR156","SPL9 = 1.0 * min(1/max(DELLA * miR156, 0.1), 10.0) * gene_modifier + exogenous_supply"
miR172,,SPL9,AP2,"miR172 = max(SPL9, 0.01)^(1/1) * min(1/max(AP2, 0.1), 10.0) * gene_modifier + exogenous_supply"
AP2,,,"miR172,SOC1","AP2 = 1.0 * min(1/max(miR172 * SOC1, 0.1), 10.0) * gene_modifier + exogenous_supply"
FT,,"CO,PIF4,FKF1,GI,Warm_Temperature,T6P,TPS1","FLC,SVP,CDF1","FT = (max(CO, 0.01) * max(PIF4, 0.01) * max(FKF1, 0.01) * max(GI, 0.01) * max(Warm_Temperature, 0.01) * max(T6P, 0.01) * max(TPS1, 0.01))^(1/7) * min(1/max(FLC * SVP * CDF1, 0.1), 10.0) * gene_modifier + exogenous_supply"
FUL,,"FT,SPL9,SOC1",TFL1,"FUL = (max(FT, 0.01) * max(SPL9, 0.01) * max(SOC1, 0.01))^(1/3) * min(1/max(TFL1, 0.1), 10.0) * gene_modifier + exogenous_supply"
FD,,"FT,TFL1",,"FD = (max(FT, 0.01) * max(TFL1, 0.01))^(1/2) * gene_modifier + exogenous_supply"
SOC1,,"FT,FD,SPL9","FLC,SVP,DELLA,AP2,TFL1","SOC1 = (max(FT, 0.01) * max(FD, 0.01) * max(SPL9, 0.01))^(1/3) * min(1/max(FLC * SVP * DELLA * AP2 * TFL1, 0.1), 10.0) * gene_modifier + exogenous_supply"
AGL24,,"SOC1,Vernalization",,"AGL24 = (max(SOC1, 0.01) * max(Vernalization, 0.01))^(1/2) * gene_modifier + exogenous_supply"
AP1,,"FT,FD,SOC1,LFY,SPL9,FUL","AP2,TFL1","AP1 = (max(FT, 0.01) * max(FD, 0.01) * max(SOC1, 0.01) * max(LFY, 0.01) * max(SPL9, 0.01) * max(FUL, 0.01))^(1/6) * min(1/max(AP2 * TFL1, 0.1), 10.0) * gene_modifier + exogenous_supply"
LFY,,"FT,SOC1,AGL24,SPL9","DELLA,TFL1","LFY = (max(FT, 0.01) * max(SOC1, 0.01) * max(AGL24, 0.01) * max(SPL9, 0.01))^(1/4) * min(1/max(DELLA * TFL1, 0.1), 10.0) * gene_modifier + exogenous_supply"
TFL1,,,AP1,"TFL1 = 1.0 * min(1/max(AP1, 0.1), 10.0) * gene_modifier + exogenous_supply"
Flowering_Time,,"AP1,LFY,SOC1,FT",TFL1,"Flowering_Time = (max(AP1, 0.01) * max(LFY, 0.01) * max(SOC1, 0.01) * max(FT, 0.01))^(1/4) * min(1/max(TFL1, 0.1), 10.0) * gene_modifier + exogenous_supply"
