node,node_type,activators,inhibitors,formula
AFB2,,,,AFB2 = 1.0 * 1.0 * gene_modifier + exogenous
THE1,,,,THE1 = 1.0 * 1.0 * gene_modifier + exogenous
CSU4,,,,CSU4 = 1.0 * 1.0 * gene_modifier + exogenous
dihydrokaempferol,,,,dihydrokaempferol = 1.0 * 1.0 * gene_modifier + exogenous
AAT,,,,AAT = 1.0 * 1.0 * gene_modifier + exogenous
SAUR19,,,,SAUR19 = 1.0 * 1.0 * gene_modifier + exogenous
GhMADS14 transgenic ,,,,GhMADS14 transgenic  = 1.0 * 1.0 * gene_modifier + exogenous
FR,,,,FR = 1.0 * 1.0 * gene_modifier + exogenous
SHV3,,,,SHV3 = 1.0 * 1.0 * gene_modifier + exogenous
Exogenous Kin,,,,Exogenous Kin = 1.0 * 1.0 * gene_modifier + exogenous
FLA16,,,,FLA16 = 1.0 * 1.0 * gene_modifier + exogenous
BL,,,,BL = 1.0 * 1.0 * gene_modifier + exogenous
cell number,,,,cell number = 1.0 * 1.0 * gene_modifier + exogenous
Sucrose supplementat,,,,Sucrose supplementat = 1.0 * 1.0 * gene_modifier + exogenous
sucrose metabolites,,,,sucrose metabolites = 1.0 * 1.0 * gene_modifier + exogenous
BHLH161,,,,BHLH161 = 1.0 * 1.0 * gene_modifier + exogenous
MEL,,,,MEL = 1.0 * 1.0 * gene_modifier + exogenous
compounds 1b and 2c,,,,compounds 1b and 2c = 1.0 * 1.0 * gene_modifier + exogenous
photoperiod of 18 ho,,,,photoperiod of 18 ho = 1.0 * 1.0 * gene_modifier + exogenous
irAtRALF1 plant(s),,,,irAtRALF1 plant(s) = 1.0 * 1.0 * gene_modifier + exogenous
Higher temperature,,,,Higher temperature = 1.0 * 1.0 * gene_modifier + exogenous
PIF4,,,,PIF4 = 1.0 * 1.0 * gene_modifier + exogenous
LLF,,,,LLF = 1.0 * 1.0 * gene_modifier + exogenous
KAR2,,,,KAR2 = 1.0 * 1.0 * gene_modifier + exogenous
ABS3,,,,ABS3 = 1.0 * 1.0 * gene_modifier + exogenous
Overexpressing GmDET,,,,Overexpressing GmDET = 1.0 * 1.0 * gene_modifier + exogenous
AtBS14b homologous g,,,,AtBS14b homologous g = 1.0 * 1.0 * gene_modifier + exogenous
DHECD,,,,DHECD = 1.0 * 1.0 * gene_modifier + exogenous
duration of twilight,,,,duration of twilight = 1.0 * 1.0 * gene_modifier + exogenous
one day/night cycle,,,,one day/night cycle = 1.0 * 1.0 * gene_modifier + exogenous
NPA,,,,NPA = 1.0 * 1.0 * gene_modifier + exogenous
ATDRB1,,,,ATDRB1 = 1.0 * 1.0 * gene_modifier + exogenous
ATEXLA2,,,,ATEXLA2 = 1.0 * 1.0 * gene_modifier + exogenous
ABS3L1,,,,ABS3L1 = 1.0 * 1.0 * gene_modifier + exogenous
vhp2;2-2,,,,vhp2;2-2 = 1.0 * 1.0 * gene_modifier + exogenous
NAA,,,,NAA = 1.0 * 1.0 * gene_modifier + exogenous
adding 1% sucrose,,,,adding 1% sucrose = 1.0 * 1.0 * gene_modifier + exogenous
WL,,,,WL = 1.0 * 1.0 * gene_modifier + exogenous
Ph = 21 h,,,,Ph = 21 h = 1.0 * 1.0 * gene_modifier + exogenous
ATSERK4,,,,ATSERK4 = 1.0 * 1.0 * gene_modifier + exogenous
Expansin overexpress,,,,Expansin overexpress = 1.0 * 1.0 * gene_modifier + exogenous
PME,,,,PME = 1.0 * 1.0 * gene_modifier + exogenous
Ph/Pr ratio,,,,Ph/Pr ratio = 1.0 * 1.0 * gene_modifier + exogenous
PAC,,,,PAC = 1.0 * 1.0 * gene_modifier + exogenous
ZMPHYC1,,,,ZMPHYC1 = 1.0 * 1.0 * gene_modifier + exogenous
FENOXYCARB,,,,FENOXYCARB = 1.0 * 1.0 * gene_modifier + exogenous
BBX24,,,,BBX24 = 1.0 * 1.0 * gene_modifier + exogenous
blue light,,,,blue light = 1.0 * 1.0 * gene_modifier + exogenous
ASP,,,,ASP = 1.0 * 1.0 * gene_modifier + exogenous
BRI1,,,,BRI1 = 1.0 * 1.0 * gene_modifier + exogenous
NO,,,,NO = 1.0 * 1.0 * gene_modifier + exogenous
CN,,,,CN = 1.0 * 1.0 * gene_modifier + exogenous
ZnO nanoparticles,,,,ZnO nanoparticles = 1.0 * 1.0 * gene_modifier + exogenous
ATRALF1,,,,ATRALF1 = 1.0 * 1.0 * gene_modifier + exogenous
ATVHP2;1,,,,ATVHP2;1 = 1.0 * 1.0 * gene_modifier + exogenous
BA,,,,BA = 1.0 * 1.0 * gene_modifier + exogenous
ELF3,,,,ELF3 = 1.0 * 1.0 * gene_modifier + exogenous
Shahdara allele,,,,Shahdara allele = 1.0 * 1.0 * gene_modifier + exogenous
Gibberellin,,,DELLA,Gibberellin = 1.0 * prod(g(DELLA)) * gene_modifier + exogenous
AFB3,,,,AFB3 = 1.0 * 1.0 * gene_modifier + exogenous
MIRNA848,,,,MIRNA848 = 1.0 * 1.0 * gene_modifier + exogenous
ATLTPI-5,,,,ATLTPI-5 = 1.0 * 1.0 * gene_modifier + exogenous
reduced light intens,,,,reduced light intens = 1.0 * 1.0 * gene_modifier + exogenous
ATKO1,,,,ATKO1 = 1.0 * 1.0 * gene_modifier + exogenous
16% under microgravi,,,,16% under microgravi = 1.0 * 1.0 * gene_modifier + exogenous
DDB1B,,,,DDB1B = 1.0 * 1.0 * gene_modifier + exogenous
TIS108,,,,TIS108 = 1.0 * 1.0 * gene_modifier + exogenous
compound 3,,,,compound 3 = 1.0 * 1.0 * gene_modifier + exogenous
TOR,,,,TOR = 1.0 * 1.0 * gene_modifier + exogenous
EBL,,,,EBL = 1.0 * 1.0 * gene_modifier + exogenous
BBX11,,,,BBX11 = 1.0 * 1.0 * gene_modifier + exogenous
PHYB,,,,PHYB = 1.0 * 1.0 * gene_modifier + exogenous
ATGRP23,,,,ATGRP23 = 1.0 * 1.0 * gene_modifier + exogenous
Ethylene,,,,Ethylene = 1.0 * 1.0 * gene_modifier + exogenous
NAE,,,,NAE = 1.0 * 1.0 * gene_modifier + exogenous
EH,,,,EH = 1.0 * 1.0 * gene_modifier + exogenous
PIF3,,,,PIF3 = 1.0 * 1.0 * gene_modifier + exogenous
longer light periods,,,,longer light periods = 1.0 * 1.0 * gene_modifier + exogenous
ATGA20OX4,,,,ATGA20OX4 = 1.0 * 1.0 * gene_modifier + exogenous
ATPCAP1,,,,ATPCAP1 = 1.0 * 1.0 * gene_modifier + exogenous
Name B mutation,,,,Name B mutation = 1.0 * 1.0 * gene_modifier + exogenous
compound 2b,,,,compound 2b = 1.0 * 1.0 * gene_modifier + exogenous
PR,,,,PR = 1.0 * 1.0 * gene_modifier + exogenous
LS,,,,LS = 1.0 * 1.0 * gene_modifier + exogenous
Phenylacetic Acid,,,,Phenylacetic Acid = 1.0 * 1.0 * gene_modifier + exogenous
SHADE,,,,SHADE = 1.0 * 1.0 * gene_modifier + exogenous
Auxin,,photomorphogenesis,,Auxin = prod(f(photomorphogenesis)) * 1.0 * gene_modifier + exogenous
DDB1A,,,,DDB1A = 1.0 * 1.0 * gene_modifier + exogenous
