test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,comparison_baseline,phenotype_node,expected_direction,expected_magnitude,doi,paper_title,authors,year,journal,evidence_sentence,verification,evidence_quality,species,notes
T151,unknown,knockout,,,,,,increased,,,,,,,SL-biosynthesis (max1-1) and SL-insensitive (atd14-1) mutants showed altered responses to nitrogen deficient,,,,
T152,unknown,knockout,,,,,,decreased,,,,,,,smxl6/7/8 triple mutants showed markedly enhanced drought tolerance,,,,
T153,unknown,knockout,,,,,,increased,,,,,,,"The pea rms2 mutants display increased shoot branching, particularly at basal nodes",,,,
T154,unknown,knockout,,,,,,decreased,,,,,,,Auxin application to the decapitated stump or to intact plants results in an increase in transcript abundance of CCD7 (RMS5) and CCD8 (RMS1),,,,
T155,unknown,knockout,,,,,,decreased,,,,,,,"SMXL7pro::SMXL7 rescued the rosette axillary branching and shoot height phenotypes of max3 smxl6,7,8",,,,
T156,unknown,knockout,,,,,,unchanged,,,,,,,"SMXL7pro::SMXLchi711 restored the axillary branching of max3 smxl6,7,8 plants to the level of max3",,,,
T157,TIE2,knockout,,,,,,decreased,slight,,,,,,TIE1 and TIE2 redundantly repress BRC1 in axillary buds; tie2 single shows mild branching reduction in CK-treated conditions,,,Arabidopsis thaliana,
T158,ARR1 ARR2,double_knockout,,,,,,decreased,moderate,,,,,,ARR1 and ARR2 are required for cytokinin-induced TIE1 expression; arr1 arr2 mutants have impaired CK signaling and reduced branching response to CK,,,Arabidopsis thaliana,
T159,miR156,overexpression,,,,,,increased,moderate,,,,,,"Overexpression of miR156 represses SPL9/SPL15, prolongs juvenility, and increases branching (consistent with reduced SPL->BRC1 activation)",,,Arabidopsis thaliana,
T160,DRM1,knockout,,,,,,increased,slight,,,,,,DRM1 is a marker of bud dormancy; loss-of-function plants are reported to show modestly enhanced bud outgrowth (Rae et al. 2013 reviewed in this paper),,,Arabidopsis thaliana,
T161,NCED5,knockout,,,,,,increased,slight,,,,,,the nced3 nced5 mutant produced a clear increase in the final number of fruits compared to wild-type,,,Arabidopsis thaliana,
T162,NCED3 NCED5,double_knockout,,,,,,increased,moderate,,,,,,the nced3 nced5 mutant produced a clear increase in the final number of fruits compared to wild-type control plants,,,Arabidopsis thaliana,
T163,TIE1 BRC1,double_knockout,,,,,,increased,strong,,,,,,"tie1 brc1 double mutant shows enhanced branching, consistent with TIE1 acting upstream of BRC1; brc1 epistatic in some contexts",,,Arabidopsis thaliana,
T164,unknown,knockout,,,,WT,,increased,,,,,,,max primary stems exhibit increased capacity for auxin transport with elevated PIN auxin efflux facilitators.,,,,
T165,unknown,knockout,,,,WT,,increased,,,,,,,max primary stems exhibit increased capacity for auxin transport,,,,
T166,unknown,knockout,,,,WT,,increased,,,,,,,highly branched mutant phenotype; both buds activated on all explants,,,,
T167,unknown,knockout,,,,WT,,decreased,,,,,,,phyB produced fewer branches than the wild type,,,,
T168,unknown,knockout,,,,WT,,increased,,,,,,,elevated expression of the branching repressor BRANCHED1 in the axillary buds,,,,
T169,unknown,knockout,,,,phyB alone,,decreased,,,,,,,phyB bud outgrowth was more sensitive than the wild type to auxin,,,,
T170,unknown,knockout,,,,WT high R:FR,,increased,,,,,,,BRC1 expression suppressed within 3 hours of increased R:FR,,,,
T171,unknown,knockout,,,,WT high R:FR,,increased,,,,,,,"increased R:FR reduces bud ABA within 3 hours, prior to growth changes",,,,
T172,unknown,knockout,,,,intact WT,,increased,,,,,,,CK levels increased in node 2 buds within 1 h,,,,
T173,unknown,knockout,,,,intact WT,,increased,,,,,,,GA1 significantly increased at 6 h post-decapitation,,,,
T174,unknown,knockout,,,,WT mock,,decreased,,,,,,,GR24 treatment significantly increased the expression of CKXs but also strongly inhibited the expression of the two IPT genes,,,,
T175,unknown,knockout,,,,WT mock,,increased,,,,,,,GR24 treatment significantly increased CK catabolism by promoting the gene expression of CKXs,,,,
T176,unknown,knockout,,,,WT decapitated,,decreased,,,,,,,pin3-3 pin4-3 pin7-1 display reduced shoot branching... activate a smaller number of branches than wild type in the initial 7 d after decapitation,,,,
T177,unknown,knockout,,,,WT,,decreased,,,,,,,pin4-3 pin7-1 ... display reduced shoot branching,,,,
T178,unknown,knockout,,,,WT,,decreased,,,,,,,rox mutants display compromised axillary bud formation during vegetative shoot development,,,,
T179,unknown,knockout,,,,WT,,increased,,,,,,,Over-expression of ROX leads to formation of accessory side shoots.,,,,
T180,unknown,knockout,,,,rax1 alone,,decreased,,,,,,,"combination of rox mutants with mutations in RAX1 and LAS, two key regulators of axillary meristem initiation, enhances their branching defects",,,,
T181,unknown,knockout,,,,las alone,,decreased,,,,,,,combination of rox mutants with mutations in RAX1 and LAS... enhances their branching defects,,,,
T182,unknown,knockout,,,,rax1 alone,,increased,,,,,,,cytokinin overproduction in the leaf axil partially rescues the AM initiation deficiency in rax mutants,,,,
T183,unknown,knockout,,,,WT,,decreased,,,,,,,camel and canar mutants are impaired in PIN1 subcellular trafficking and auxin-mediated PIN polarization,,,,
T184,unknown,knockout,,,,WT,,decreased,,,,,,,camel and canar mutants are impaired in PIN1 subcellular trafficking and auxin-mediated PIN polarization,,,,
T185,unknown,knockout,,,,WT,,decreased,,,,,,,extensive functional overlap between even the most distantly related TIR1/AFB genes except for AFB1,,,,
T186,unknown,knockout,,,,WT mock,,decreased,,,,,,,"when ABA was applied basally, i.e. below the lateral bud of interest, there was a significant moderate repression of its outgrowth",,,,
T187,unknown,knockout,,,,WT decapitated,,decreased,,,,,,,"Auxin flow was manipulated by lateral stem wounds or chemically by auxin efflux inhibitors 2,3,5-triiodobenzoic acid (TIBA), 1-N-naphtylphtalamic acid (NPA)",,,,
T188,unknown,knockout,,,,intact WT,,decreased,,,,,,,initial bud growth occurs prior to changes in IAA level or transport in surrounding stem tissue,,,,
T189,unknown,knockout,,,,WT decapitated alone,,unchanged,,,,,,,is not prevented by an acropetal supply of exogenous auxin,,,,
T190,unknown,knockout,,,,,Shoot_Branching,increased,,,,,,,"PsIPT1 and PsIPT2 transcripts were undetectable; after decapitation, they were markedly induced in the nodal stem along with accumulation of CK.",,,,
