source,source_type,target,target_type,effect,edge_type,confidence,mechanism,doi,paper_title,authors,year,journal,evidence_sentence,verification,species_validated
Auxin,HORMONE,D27,GENE,activation,transcriptional,MEDIUM,"D27 (and CCD7/MAX3) is induced by auxin, ABA and phosphate deficiency - placing the entry step of SL biosynthesis under multi-signal control",,,,,,"induced by auxin, abscisic acid and phosphate deficiency",,
Auxin,HORMONE,DRM1,GENE,activation,transcriptional,HIGH,"DRM1 (Dormancy-Associated Protein 1, also known as Auxin-Repressed Protein ARP1) is upregulated by auxin signaling in dormant buds; rapidly downregulated upon auxin removal by decapitation",,,,,,Arabidopsis DRM1 and ARP1 were among genes that were highly expressed in dormant axillary buds; reduced within 24 h after decapitation,,
Auxin,HORMONE,GA,HORMONE,activation,signaling,HIGH,"Elevated auxin in the bud increases gibberellin biosynthesis, supporting elongation.",,,,,,,,
Auxin,HORMONE,IPT,GENE,repression,transcriptional,HIGH,Auxin represses IPT biosynthesis genes reducing CK production,,,,,,Auxin can negatively regulate the synthesis of CK dependent on AXR1-mediated signaling,,
Auxin,HORMONE,PIN1,GENE,activation,signaling,HIGH,Auxin promotes PIN1 transcription and polar localization (positive feedback),,,,,,Auxin-induced increases in PIN1 transcription,,
Auxin,HORMONE,Shoot_Branching,PHENOTYPE,inhibition,signaling,HIGH,Apical dominance; auxin inhibits bud outgrowth indirectly via SL and CK,,,,,,Auxin inhibits the activation of axillary buds and hence shoot branching,,
Auxin,HORMONE,Strigolactone,HORMONE,activation,signaling,HIGH,"Auxin promotes SL biosynthesis gene expression (CCD7, CCD8)",,,,,,Auxin up-regulation of MAX3 and MAX4 transcripts in an AXR1-dependent manner,,
Auxin_canalization,PROCESS,Bud_PIN_polarization,PROCESS,activation,signaling,HIGH,Same auxin canalization mechanism that operates between shoot apex and bud also operates between competing axillary buds; first bud to canalize wins dominance.,,,,,,competition between upper and lower axillary buds as secondary auxin sources is based on the same auxin canalization principle that operates between the shoot apex and axillary bud.,,
Auxin_canalization,PROCESS,Shoot_Branching,PHENOTYPE,activation,signaling,HIGH,Bud activation requires that bud-derived auxin successfully canalize into the main stem; the bud establishes itself as a successful auxin source.,,,,,,bud growth is regulated by competition between auxin sources for auxin transport capacity in the primary stem.,,
BES1,GENE,BRC1,GENE,repression,transcriptional,HIGH,BES1 directly binds BRC1 promoter and cooperates with SMXLs to repress BRC1,,,,,,"BES1 directly bound to the BRC1 promoter fragments F2, F4, and F5",,
BES1,GENE,MAX2,GENE,inhibition,signaling,HIGH,"BR-activated BES1 interacts with MAX2 and promotes BES1's own ubiquitination, dampening SL signalling output.",,,,,,,,
BES1,GENE,Shoot_Branching,PHENOTYPE,activation,signaling,HIGH,BES1 promotes branching by repressing BRC1 cooperatively with SMXLs,,,,,,bes1-D mutant exhibiting more branching number,,
BRC1,GENE,ABA,HORMONE,activation,transcriptional,HIGH,BRC1 activates NCED3 and ABA response genes leading to ABA accumulation,,,,,,"BRC1 enhance NCED3 expression, lead to abscisic acid accumulation",,
BRC1,GENE,ABF3,GENE,activation,transcriptional,HIGH,BRC1 positively regulates ABF3 expression in axillary buds; ABF3 is among 26 ABA-related genes upregulated in dormant brc1-dependent buds,,,,,,"ABA response factors, ABF3 and ABI5, are positively regulated in axillary buds by BRC1",,
BRC1,GENE,ABI1,GENE,activation,transcriptional,MEDIUM,BRC1-dependent activation of ABI1 (PP2C ABA receptor partner) in dormant buds; among 26 ABA-related BRC1-dependent genes,,,,,,"ABA, including ABI1, ABF3, AFP1, AFP3, NAC019, NAC092, and NAP",,
BRC1,GENE,ABI5,GENE,activation,transcriptional,HIGH,"BRC1 positively regulates ABI5 (bZIP TF in ABA signaling) expression in axillary buds, contributing to bud dormancy via ABA response",,,,,,"ABA response factors, ABF3 and ABI5, are positively regulated in axillary buds by BRC1",,
BRC1,GENE,AFP1,GENE,activation,transcriptional,MEDIUM,BRC1-dependent ABA-related gene; AFP1 (ABI Five-binding Protein 1) upregulated in dormant buds vs active buds in BRC1-dependent manner,,,,,,"The largest group comprised 26 genes related to ABA, including the ABA synthesis gene NCED3, HIS1-3, and the transcription factors ABI1, ABF3, AFP1, AFP3, NAC019, NAC092, and NAP",,
BRC1,GENE,AFP3,GENE,activation,transcriptional,MEDIUM,BRC1-dependent ABA-related gene; AFP3 (ABI Five-binding Protein 3) upregulated in dormant brc1-dependent buds,,,,,,"The largest group comprised 26 genes related to ABA, including ABI1, ABF3, AFP1, AFP3, NAC019, NAC092, and NAP",,
BRC1,GENE,Auxin_efflux,PROCESS,inhibition,signaling,HIGH,"BRC1 lowers the basal (non-polar) rate of auxin efflux from buds; in Arabidopsis BRC1 does not directly transcriptionally target PIN3 (unlike cucumber), instead acting on broader efflux machinery and via auxin conjugation through GH3.5.",,,,,,BRC1 downregulates the basal rate of auxin efflux in buds.,,
BRC1,GENE,BRC2,GENE,repression,transcriptional,MEDIUM,"BRC1 negatively feeds back on BRC2 transcription; brc1 mutants show upregulation of BRC2, indicating compensatory regulation between paralogous TCP18/TCP12 genes",,,,,,"brc1 mutants showed upregulation of BRC2, indicating negative feedback compensation when BRC1 function is lost",,
BRC1,GENE,BRM,GENE,activation,transcriptional,MEDIUM,"BRAHMA (BRM), a SWI/SNF ATPase paralog of SYD, is upregulated downstream of BRC1 induction",,,,,,BRAHMA: A SWI/SNF ATPase homologue that is upregulated downstream of BRC1 induction,,
BRC1,GENE,DRM1,GENE,activation,transcriptional,HIGH,BRC1 co-expressed with dormancy marker DRM1,,,,,,Expression of BRC1 correlated with DRM1,,
BRC1,GENE,FT,GENE,repression,signaling,MEDIUM,BRC1 interacts with FT to repress floral transition of axillary meristems,,,,,,BRC1 interacts with FT to repress floral transition in axillary meristems,,
BRC1,GENE,GBF3,GENE,activation,transcriptional,MEDIUM,"BRC1 direct ChIP-seq target encoding bZIP TF GBF3 (G-box binding factor 3, ABA-responsive); part of BTF group of BRC1 target transcription factors orchestrating dormancy network",,,,,,"BRC1, HB21, HB40, and HB53 regulate the expression of ABA-related genes encoding transcription factors, with studies examining mRNA levels of ABF3, AFP3, GBF3, and NAP",,
BRC1,GENE,GH3.5,GENE,activation,transcriptional,MEDIUM,"BRC1 promotes amino-acid conjugation of bud auxin via GH3.5, lowering free IAA in the bud and reducing canalizable auxin output.",,,,,,promoting amino-acid conjugation of auxin via GH3.5,,
BRC1,GENE,HB21,GENE,activation,transcriptional,HIGH,BRC1 directly binds and activates HB21 promoter,,,,,,"BRC1 directly activates a group of phylogenetically related genes, HB21",,
BRC1,GENE,HB40,GENE,activation,transcriptional,HIGH,BRC1 directly binds and activates HB40 promoter,,,,,,BRC1 directly activates HB40,,
BRC1,GENE,HB53,GENE,activation,transcriptional,HIGH,BRC1 directly binds and activates HB53 promoter,,,,,,BRC1 directly activates HB53,,
BRC1,GENE,MAX1,GENE,activation,transcriptional,MEDIUM,BRC1 upregulates MAX1 strigolactone biosynthesis gene in buds (positive feedback in branching repression).,,,,,,"MAX1 gene, which encodes a strigolactone biosynthesis enzyme",,
BRC1,GENE,NAC019,GENE,activation,transcriptional,MEDIUM,BRC1-dependent ABA-related TF; NAC019 upregulated in dormant brc1-dependent buds,,,,,,"transcription factors ABI1, ABF3, AFP1, AFP3, NAC019, NAC092, and NAP",,
BRC1,GENE,NAC092,GENE,activation,transcriptional,MEDIUM,BRC1-dependent ABA-related TF; NAC092 (ATAF1) upregulated in dormant brc1-dependent buds,,,,,,"transcription factors ABI1, ABF3, AFP1, AFP3, NAC019, NAC092, and NAP",,
BRC1,GENE,NAP,GENE,activation,transcriptional,MEDIUM,BRC1-dependent ABA-related TF; NAP (NAC-like activated by AP3) upregulated in dormant brc1-dependent buds,,,,,,"transcription factors ABI1, ABF3, AFP1, AFP3, NAC019, NAC092, and NAP",,
BRC1,GENE,NCED3,GENE,activation,transcriptional,HIGH,BRC1 directly enhances NCED3 expression both directly and via HB21/40/53,,,,,,Induction of BRC1 led to 31-fold increase in NCED3 mRNA,,
BRC1,GENE,PIN3,GENE,repression,transcriptional,HIGH,BRC1 directly binds PIN3 promoter to repress transcription,,,,,,CsBRC1 directly binds to the CsPIN3 promoter to repress the transcription,,
BRC1,GENE,Shoot_Branching,PHENOTYPE,inhibition,transcriptional,HIGH,TCP transcription factor that arrests axillary bud development,,,,,,BRC1 prevents AM initiation and retards all stages of bud development,,
BRC2,GENE,Shoot_Branching,PHENOTYPE,inhibition,transcriptional,HIGH,Partially redundant TCP TF with BRC1,,,,,,The phenotype of brc2 mutants was weaker but consistently affected RI and RII,,
BRM,GENE,BRC1,GENE,inhibition,signaling,LOW,Specifically searched for BRM (chromatin remodeler) regulation of BRC1 in this batch but no direct evidence found in the 14 papers; documented as literature gap,,,,,,(NEGATIVE FINDING) BRM-BRC1 interaction not described in the surveyed papers,,
CAMEL,GENE,PIN1,GENE,activation,post_translational,HIGH,"CAMEL (Canalization-related Auxin-regulated Malectin-type RLK) interacts with and phosphorylates PIN auxin transporters, required for PIN1 subcellular trafficking and auxin-mediated PIN polarization.",,,,,,The auxin-regulated receptor CAMEL (Canalization-related Auxin-regulated Malectin-type RLK) together with CANAR (Canalization-related Receptor-like kinase) interact with and phosphorylate PIN auxin transporters.,,
CANAR,GENE,PIN1,GENE,activation,post_translational,HIGH,CANAR forms complex with CAMEL to phosphorylate PIN1; canar mutants show impaired PIN1 trafficking and venation defects.,,,,,,camel and canar mutants are impaired in PIN1 subcellular trafficking and auxin-mediated PIN polarization,,
CANAR,GENE,Vasculature_Regeneration,PROCESS,activation,signaling,HIGH,canar mutants show defects in vasculature regeneration after wounding (downstream of PIN1 polarization).,,,,,,macroscopically manifests as defects in leaf venation and vasculature regeneration after wounding,,
CCD7,GENE,Carlactone,METABOLITE,activation,metabolic,HIGH,Carotenoid cleavage dioxygenase 7 (MAX3),,,,,,CCD7 and CCD8 are encoded by MORE AXILLARY GROWTH 3 (MAX3) and MAX4,,
CCD7,GENE,Shoot_Branching,PHENOTYPE,inhibition,signaling,HIGH,MAX3 (SL biosynthesis) loss of function increases branching; MAX3 sits at branching plasticity QTL peak.,,,,,,,,
CCD7,GENE,Strigolactone,HORMONE,activation,metabolic,HIGH,CCD7/MAX3 catalyzes carotenoid cleavage in SL biosynthesis,,,,,,MAX3 and MAX4 encode plastid-targeted carotenoid cleavage dioxygenases,,
CCD8,GENE,Carlactone,METABOLITE,activation,metabolic,HIGH,Carotenoid cleavage dioxygenase 8 (MAX4),,,,,,CCD8 are encoded by MAX4,,
CCD8,GENE,Strigolactone,HORMONE,activation,metabolic,HIGH,CCD8/MAX4 catalyzes carotenoid cleavage in SL biosynthesis,,,,,,MAX4 encodes plastid-targeted carotenoid cleavage dioxygenase,,
CKX,GENE,Cytokinin,HORMONE,inhibition,signaling,HIGH,CKX (cytokinin oxidase/dehydrogenase) family members enzymatically degrade cytokinins; OE reduces CK levels.,,,,,,,,
CKX9,GENE,Cytokinin,HORMONE,inhibition,metabolic,HIGH,Cytokinin oxidase/dehydrogenase degrades cytokinins,,,,,,Activate CK catabolism through CKX,,
CUC2,GENE,LAS,GENE,activation,transcriptional,HIGH,CUC2 binds LAS promoter to enhance expression,,,,,,CUC2 proteins bind to the LAS promoter to enhance the expression of LAS,,
CUC2,GENE,miR164,REGULATORY_RNA,activation,signaling,HIGH,"CUC2 directly activates MIR164c transcription, establishing a negative feedback loop.",,,,,,,,
Cytokinin,HORMONE,AHK,GENE,activation,signaling,HIGH,"Cytokinin binds AHK histidine kinase receptors at the ER membrane, initiating the phosphorelay.",,,,,,,,
Cytokinin,HORMONE,ARR1,GENE,activation,signaling,HIGH,Cytokinin two-component signalling activates B-type ARR transcription factors (ARR1/2/10/12).,,,,,,,,
Cytokinin,HORMONE,Auxin,HORMONE,activation,signaling,HIGH,Cytokinin maintains basal auxin biosynthesis (YUCCA/TAR-dependent) and dynamically increases it in response to environment.,,,,,,,,
Cytokinin,HORMONE,Axillary_meristem_initiation,PROCESS,activation,signaling,HIGH,Cytokinin signaling pulse precedes AM initiation in the leaf axil; CK overproduction can rescue rax mutants.,,,,,,a subsequent cytokinin signaling pulse has been observed prior to AM initiation,,
Cytokinin,HORMONE,BRC1,GENE,repression,transcriptional,HIGH,CK rapidly downregulates BRC1 expression in axillary buds,,,,,,BRC1 transcripts decreased in buds within 1 h of basal CK treatment,,
Cytokinin,HORMONE,PIN1,GENE,activation,signaling,HIGH,CK upregulates and polarizes PIN1,,,,,,CK treatment also results in the polarization of PIN1 24 h after the application,,
Cytokinin,HORMONE,PIN3,GENE,activation,signaling,HIGH,CK increases PIN3-GFP accumulation at basal plasma membrane by ~30%,,,,,,BA treatment increased PIN3-GFP on basal plasma membrane by ~30%,,
Cytokinin,HORMONE,PIN7,GENE,activation,signaling,HIGH,CK increases PIN7-GFP accumulation at basal membrane,,,,,,BA treatment increased PIN7-GFP by ~15%,,
Cytokinin,HORMONE,STM,GENE,activation,signaling,HIGH,"Cytokinin signalling acts upstream of STM, completing a positive feedback loop.",,,,,,,,
Cytokinin,HORMONE,Shoot_Branching,PHENOTYPE,activation,signaling,HIGH,CK promotes bud outgrowth independently and via BRC1 repression,,,,,,"Strigolactone inhibits bud outgrowth, whereas CK promotes it",,
Cytokinin,HORMONE,TIE1,GENE,activation,transcriptional,HIGH,Cytokinin upregulates TIE1 transcription via ARR1/ARR2 B-type response regulators (primary CK response gene); establishes negative feedback that dampens CK response while also linking CK to BRC1 inhibition in branching,,,,,,ARR1 promotes expression of TIE1 and TIE2 by directly binding to their promoters; binding intensity increased following cytokinin treatment,,
Cytokinin,HORMONE,WUS,GENE,activation,signaling,HIGH,CK signaling activates WUS to promote axillary meristem identity,,,,,,Activation of WUSCHEL (WUS) by CK signaling promotes axillary meristem initiation,,
D14,GENE,BES1,GENE,inhibition,signaling,HIGH,AtD14 (SL receptor) promotes BES1 protein degradation in concert with MAX2 SCF complex; provides perception-gate motif extension to BES1,,,,,,"AtD14, a putative receptor of SLs, can promote BES1 degradation",,
D14,GENE,D14,GENE,inhibition,metabolic,HIGH,"D14 hydrolyzes and deactivates SL, acting as both receptor and deactivation enzyme",,,,,,D14 deactivates bioactive SLs by hydrolytic degradation,,
D14,GENE,MAX2,GENE,activation,signaling,HIGH,SL-bound D14 undergoes conformational change enabling MAX2 interaction,,,,,,D14-D3 complex could target proteins for ubiquitination and degradation,,
D14,GENE,SMAX1,PROTEIN_COMPLEX,inhibition,signaling,MEDIUM,GR24 stimulates D14-SMAX1 interaction; D14 mediates GR24-induced SMAX1 degradation in plants (weaker than D14-SMXL7 interaction); also activated by osmotic stress via SL biosynthesis induction,,,,,,D14 mediates GR24-induced degradation of SMAX1 in plants.,,
D14,GENE,SMXL6,GENE,inhibition,signaling,HIGH,D14 directly targets SMXL6 for ubiquitination,,,,,,D14-SMXL6 interaction was enhanced upon GR24 treatment,,
D14,GENE,SMXL678,PROTEIN_COMPLEX,inhibition,signaling,HIGH,"D14 receptor binds SL, induces conformational change, then targets SMXL6/7/8 for ubiquitination by SCF-MAX2 complex (D14-MAX2-SMXL678)",,,,,,"ubiquitination of certain target proteins from...SMXL family, which are consequently degraded.",,
D14,GENE,SMXL7,GENE,inhibition,signaling,HIGH,D14 directly targets SMXL7 for ubiquitination,,,,,,SMXL7-YFP was not degraded after rac-GR24 treatment in d14 backgrounds,,
D14,GENE,SMXL8,GENE,inhibition,signaling,HIGH,D14 directly targets SMXL8 for ubiquitination,,,,,,D14 interacts with all three D53-like proteins,,
D14,GENE,Shoot_Branching,PHENOTYPE,inhibition,signaling,HIGH,D14 required locally in the aerial part to suppress branching,,,,,,D14 is required locally in the aerial part of the plant to suppress shoot branching,,
D27,GENE,Carlactone,METABOLITE,activation,metabolic,HIGH,Carotenoid isomerase; first committed step in SL biosynthesis,,,,,,"In Arabidopsis, the isomerase is encoded by DWARF27",,
D27,GENE,Strigolactone,HORMONE,activation,metabolic,HIGH,D27 is an isomerase required for SL biosynthesis,,,,,,Strigolactone synthesis mutants including D27 exhibit increased branching,,
DELLA,PROTEIN_COMPLEX,BRC1,GENE,activation,signaling,HIGH,DELLA proteins bind TCP transcription factors (BRC1 family) and modulate their activity.,,,,,,,,
DELLA,PROTEIN_COMPLEX,SPL9,GENE,inhibition,signaling,MEDIUM,"DELLA proteins sequester SPL9, preventing its activation of BRC1",,,,,,GA-DELLA-SPL9 pathway in axillary bud regulation,,
DRM1,GENE,Shoot_Branching,PHENOTYPE,inhibition,signaling,MEDIUM,DRM1/ARP1 expression marks (and likely contributes to) bud dormancy; high expression correlates with arrested buds and is an established dormancy biomarker,,,,,,the bud dormancy marker gene DRM1 exhibited a sustained down-regulation at 6 and 12 hours after decapitation,,
Decapitation,ENVIRONMENT,Auxin,HORMONE,inhibition,signaling,HIGH,Removes major source of auxin in the stem,,,,,,Reducing the stem IAA content via decapitation results in a strong decrease in their expression,,
Decapitation,ENVIRONMENT,BRC1,GENE,repression,signaling,HIGH,Decapitation rapidly downregulates BRC1 expression in buds,,,,,,BRC1 was downregulated significantly in decapitated plants at 1 h after decapitation,,
Decapitation,ENVIRONMENT,Cytokinin,HORMONE,activation,signaling,HIGH,Decapitation strongly upregulates IPT1 and IPT2 CK biosynthesis genes,,,,,,Increased IPT1 and IPT2 expression correlated strongly with bud outgrowth,,
Decapitation,ENVIRONMENT,DRM1,GENE,repression,transcriptional,HIGH,"Decapitation triggers rapid (within 24 h) downregulation of dormancy marker DRM1/ARP1 in axillary buds, indicating release from auxin-induced dormancy",,,,,,expression levels of AtDRM1s were reduced within 24 h after decapitation,,
Decapitation,ENVIRONMENT,GA1,METABOLITE,activation,signaling,MEDIUM,"GA1 (bioactive gibberellin) increases in bud at 6 h post-decapitation, supporting later growth phase.",,,,,,GA1 significantly increased at 6 h post-decapitation,,
Decapitation,ENVIRONMENT,GA2ox,GENE,inhibition,signaling,HIGH,"Apex removal rapidly downregulates GA2ox in axillary buds, allowing bioactive GA accumulation.",,,,,,,,
Decapitation,ENVIRONMENT,GA3ox,GENE,activation,signaling,HIGH,"Apex removal upregulates GA3ox2 between 12-24 h post-decapitation, driving de novo GA synthesis.",,,,,,,,
Decapitation,ENVIRONMENT,IPT,GENE,activation,transcriptional,HIGH,Auxin depletion after decapitation allows IPT gene expression,,,,,,PsIPT1 and PsIPT2 were transiently induced 3 h after decapitation,,
Decapitation,ENVIRONMENT,Shoot_Branching,PHENOTYPE,activation,signaling,HIGH,Removal of shoot apex releases buds from apical dominance,,,,,,"Removal of the shoot apex alleviates this inhibition, allowing for the outgrowth of lateral buds",,
Decapitation,ENVIRONMENT,Strigolactone,HORMONE,inhibition,signaling,HIGH,"Decapitation causes up to 10,000-fold reduction in RMS1/CCD8 expression",,,,,,"RMS1 expression was reduced as much as 10,000-fold",,
Decapitation,ENVIRONMENT,Sucrose,METABOLITE,activation,signaling,HIGH,Removing shoot tip rapidly enhances sugar availability to axillary buds,,,,,,Removing the shoot tip rapidly enhances sugar availability to axillary buds,,
Decapitation,ENVIRONMENT,T6P,METABOLITE,activation,metabolic,HIGH,"Decapitation triggers rapid sucrose redistribution to axillary buds, which causes a rapid sustained rise in Tre6P levels coinciding with onset of bud outgrowth; suppressed by defoliation",,,,,,"decapitation led to a rapid and sustained rise in Tre6P levels in axillary buds, coinciding with the onset of bud outgrowth, and this response was suppressed by simultaneous defoliation",,
FAR1,GENE,Shoot_Branching,PHENOTYPE,activation,signaling,HIGH,FAR1 promotes branching by inhibiting SPL9/SPL15 activity,,,,,,far1-4 had less branches compared with WT,,
FHY3,GENE,SMXL6,GENE,activation,transcriptional,HIGH,FHY3 directly binds to SMXL6 first exon and activates transcription,,,,,,FHY3 could directly bind to first exon of SMXL6 and SMXL7; transcript levels upregulated in FHY3-OE,,
FHY3,GENE,SMXL7,GENE,activation,transcriptional,HIGH,FHY3 directly binds SMXL7 promoter region,,,,,,FHY3 directly binds SMXL7; co-expression significantly enhanced transcription,,
FHY3,GENE,SPL15,GENE,inhibition,signaling,HIGH,FHY3 interacts with SPL15 to inhibit DNA binding,,,,,,FHY3 inhibits the direct binding of SPL15SBP to target DNA,,
FHY3,GENE,SPL9,GENE,inhibition,signaling,HIGH,FHY3 physically interacts with SPL9 to inhibit its DNA-binding activity on BRC1 promoter,,,,,,FHY3 can inhibit the DNA-binding activity of both SPL9 and SPL15,,
FHY3,GENE,Shoot_Branching,PHENOTYPE,activation,signaling,HIGH,FHY3 promotes branching by inhibiting SPL9/SPL15 and thus reducing BRC1,,,,,,FHY3-OE plants had much more rosette branches (27.3% more than WT),,
FT,GENE,BRC1,GENE,repression,signaling,HIGH,FT and BRC1 have reciprocal repressive interaction,,,,,,FT interact with reciprocal repressive effect between the two proteins,,
FT,GENE,Shoot_Branching,PHENOTYPE,activation,signaling,HIGH,FT promotes rosette branching,,,,,,High levels of FT promoting rosette branching; ft mutant has almost no rosette branches,,
GA,HORMONE,BRC1,GENE,repression,signaling,MEDIUM,GA and CK synergistically promote bud outgrowth; GA negatively influences BRC1,,,,,,"GA and CK synergistically promote lateral bud outgrowth, and both hormones negatively influence BRC1",,
GA,HORMONE,DELLA,PROTEIN_COMPLEX,inhibition,signaling,HIGH,GA promotes DELLA protein degradation via ubiquitin-proteasome pathway,,,,,,High levels of GAs activate the APC/C complex and promote degradation,,
GA,HORMONE,GA2ox,GENE,activation,signaling,HIGH,Bioactive GAs feedback-induce GA2ox catabolic enzymes (homeostatic loop) in dormant buds.,,,,,,,,
GA,HORMONE,GID1,GENE,inhibition,signaling,HIGH,Bioactive GA negatively regulates GID1 receptor abundance via feedback.,,,,,,,,
GA,HORMONE,MAX1,GENE,inhibition,signaling,HIGH,"GA3/GA4 downregulate MAX1.2 SL biosynthesis gene, suppressing SL production.",,,,,,,,
GA,HORMONE,PIN1,GENE,activation,signaling,HIGH,GA promotes/stabilises PIN protein localisation at the plasma membrane.,,,,,,,,
GA,HORMONE,Shoot_Branching,PHENOTYPE,activation,signaling,HIGH,GA induces and sustains bud elongation after release.,,,,,,,,
GA2ox,GENE,GA,HORMONE,inhibition,signaling,HIGH,GA2ox enzymes 2-beta-hydroxylate and inactivate bioactive GA1/GA4.,,,,,,,,
GA3ox,GENE,GA,HORMONE,activation,signaling,HIGH,GA3ox catalyses the final step producing bioactive GA1/GA4.,,,,,,,,
HB21,GENE,NCED3,GENE,activation,transcriptional,HIGH,HD-ZIP I TF activates NCED3 expression,,,,,,"HB21, HB40, and HB53 enhance NCED3 expression",,
