node,node_type,activators,inhibitors,formula
TCMP,,,,TCMP = 1.0 * 1.0 * gene_modifier + exogenous
ART1,,,,ART1 = 1.0 * 1.0 * gene_modifier + exogenous
diurnal light intens,,,,diurnal light intens = 1.0 * 1.0 * gene_modifier + exogenous
FT,,,,FT = 1.0 * 1.0 * gene_modifier + exogenous
atipk2β,,,,atipk2β = 1.0 * 1.0 * gene_modifier + exogenous
non-functional gene(,,,,non-functional gene( = 1.0 * 1.0 * gene_modifier + exogenous
Mild increase in tem,,,,Mild increase in tem = 1.0 * 1.0 * gene_modifier + exogenous
genetic background v,,,,genetic background v = 1.0 * 1.0 * gene_modifier + exogenous
SPL,,,,SPL = 1.0 * 1.0 * gene_modifier + exogenous
BAS1,,,,BAS1 = 1.0 * 1.0 * gene_modifier + exogenous
MED5AB,,,,MED5AB = 1.0 * 1.0 * gene_modifier + exogenous
ATHDA6,,,,ATHDA6 = 1.0 * 1.0 * gene_modifier + exogenous
SVP,,,,SVP = 1.0 * 1.0 * gene_modifier + exogenous
genome size,,,,genome size = 1.0 * 1.0 * gene_modifier + exogenous
NRPC7,,,,NRPC7 = 1.0 * 1.0 * gene_modifier + exogenous
ATTCP8,,,,ATTCP8 = 1.0 * 1.0 * gene_modifier + exogenous
overexpression of Mt,,,,overexpression of Mt = 1.0 * 1.0 * gene_modifier + exogenous
deletion of gene(s) ,,,,deletion of gene(s)  = 1.0 * 1.0 * gene_modifier + exogenous
AT-SC35,,,,AT-SC35 = 1.0 * 1.0 * gene_modifier + exogenous
EMF1,,,,EMF1 = 1.0 * 1.0 * gene_modifier + exogenous
FLM,,,,FLM = 1.0 * 1.0 * gene_modifier + exogenous
Ambient temperature,,,,Ambient temperature = 1.0 * 1.0 * gene_modifier + exogenous
CSCOL8,,,,CSCOL8 = 1.0 * 1.0 * gene_modifier + exogenous
UV,,,,UV = 1.0 * 1.0 * gene_modifier + exogenous
quality of light,,,,quality of light = 1.0 * 1.0 * gene_modifier + exogenous
high plant(s) densit,,,,high plant(s) densit = 1.0 * 1.0 * gene_modifier + exogenous
AASOC1B,,,,AASOC1B = 1.0 * 1.0 * gene_modifier + exogenous
ATCOL2,,,,ATCOL2 = 1.0 * 1.0 * gene_modifier + exogenous
GFP,,,,GFP = 1.0 * 1.0 * gene_modifier + exogenous
COLDAIR,,,,COLDAIR = 1.0 * 1.0 * gene_modifier + exogenous
ATCOL5,,,,ATCOL5 = 1.0 * 1.0 * gene_modifier + exogenous
ATUVR8,,,,ATUVR8 = 1.0 * 1.0 * gene_modifier + exogenous
Overexpression of Mt,,,,Overexpression of Mt = 1.0 * 1.0 * gene_modifier + exogenous
DNA,,,,DNA = 1.0 * 1.0 * gene_modifier + exogenous
PVCO1,,,,PVCO1 = 1.0 * 1.0 * gene_modifier + exogenous
Increase in ambient ,,,,Increase in ambient  = 1.0 * 1.0 * gene_modifier + exogenous
FPA,,,,FPA = 1.0 * 1.0 * gene_modifier + exogenous
ATNUP160,,,,ATNUP160 = 1.0 * 1.0 * gene_modifier + exogenous
globally present all,,,,globally present all = 1.0 * 1.0 * gene_modifier + exogenous
ASI3,,,,ASI3 = 1.0 * 1.0 * gene_modifier + exogenous
AS1,,,,AS1 = 1.0 * 1.0 * gene_modifier + exogenous
FLC,,,,FLC = 1.0 * 1.0 * gene_modifier + exogenous
GSWRKY20,,,,GSWRKY20 = 1.0 * 1.0 * gene_modifier + exogenous
CSCOL6,,,,CSCOL6 = 1.0 * 1.0 * gene_modifier + exogenous
MED8,,,,MED8 = 1.0 * 1.0 * gene_modifier + exogenous
TSF,,,,TSF = 1.0 * 1.0 * gene_modifier + exogenous
ADO1,,,,ADO1 = 1.0 * 1.0 * gene_modifier + exogenous
miR156,,,,miR156 = 1.0 * 1.0 * gene_modifier + exogenous
CO,,,,CO = 1.0 * 1.0 * gene_modifier + exogenous
CDF2,,,,CDF2 = 1.0 * 1.0 * gene_modifier + exogenous
atocd mutants,,,,atocd mutants = 1.0 * 1.0 * gene_modifier + exogenous
CG,,,,CG = 1.0 * 1.0 * gene_modifier + exogenous
LIGHT,,,,LIGHT = 1.0 * 1.0 * gene_modifier + exogenous
functional ScFT5 gen,,,,functional ScFT5 gen = 1.0 * 1.0 * gene_modifier + exogenous
BnABI3 overexpressio,,,,BnABI3 overexpressio = 1.0 * 1.0 * gene_modifier + exogenous
Elevated temperature,,,,Elevated temperature = 1.0 * 1.0 * gene_modifier + exogenous
Seasonal changes,,,,Seasonal changes = 1.0 * 1.0 * gene_modifier + exogenous
ATMBD8,,,,ATMBD8 = 1.0 * 1.0 * gene_modifier + exogenous
FER,,,,FER = 1.0 * 1.0 * gene_modifier + exogenous
SDG40,,,,SDG40 = 1.0 * 1.0 * gene_modifier + exogenous
Telomere length,,,,Telomere length = 1.0 * 1.0 * gene_modifier + exogenous
PHYC,,,,PHYC = 1.0 * 1.0 * gene_modifier + exogenous
ATMYB56,,,,ATMYB56 = 1.0 * 1.0 * gene_modifier + exogenous
FUS3,,,,FUS3 = 1.0 * 1.0 * gene_modifier + exogenous
HOS1,,,,HOS1 = 1.0 * 1.0 * gene_modifier + exogenous
PHOTOPERIOD,,,,PHOTOPERIOD = 1.0 * 1.0 * gene_modifier + exogenous
loss of function,,,,loss of function = 1.0 * 1.0 * gene_modifier + exogenous
PHYB,,,,PHYB = 1.0 * 1.0 * gene_modifier + exogenous
BoFRIa alleles,,,,BoFRIa alleles = 1.0 * 1.0 * gene_modifier + exogenous
PHEMADS15,,,,PHEMADS15 = 1.0 * 1.0 * gene_modifier + exogenous
plant(s) size,,,,plant(s) size = 1.0 * 1.0 * gene_modifier + exogenous
ZMPHYC1,,,,ZMPHYC1 = 1.0 * 1.0 * gene_modifier + exogenous
IBVPE1,,,,IBVPE1 = 1.0 * 1.0 * gene_modifier + exogenous
Overexpression of Ac,,,,Overexpression of Ac = 1.0 * 1.0 * gene_modifier + exogenous
SNPFLC,,,,SNPFLC = 1.0 * 1.0 * gene_modifier + exogenous
AOP2,,,,AOP2 = 1.0 * 1.0 * gene_modifier + exogenous
ABA,,,,ABA = 1.0 * 1.0 * gene_modifier + exogenous
Overexpression of Mi,,,,Overexpression of Mi = 1.0 * 1.0 * gene_modifier + exogenous
high planting densit,,,,high planting densit = 1.0 * 1.0 * gene_modifier + exogenous
ARF1-BP,,,,ARF1-BP = 1.0 * 1.0 * gene_modifier + exogenous
BIC1,,,,BIC1 = 1.0 * 1.0 * gene_modifier + exogenous
PROSCOOP10,,,,PROSCOOP10 = 1.0 * 1.0 * gene_modifier + exogenous
FRK3,,,,FRK3 = 1.0 * 1.0 * gene_modifier + exogenous
MBD9,,,,MBD9 = 1.0 * 1.0 * gene_modifier + exogenous
MPWU,,,,MPWU = 1.0 * 1.0 * gene_modifier + exogenous
JMJ30,,,,JMJ30 = 1.0 * 1.0 * gene_modifier + exogenous
heterologous express,,,,heterologous express = 1.0 * 1.0 * gene_modifier + exogenous
ATCOL1,,,,ATCOL1 = 1.0 * 1.0 * gene_modifier + exogenous
