node,node_type,activators,inhibitors,formula
ABPH1,,TYPE_B_ARR,,"ABPH1 = max(TYPE_B_ARR, 0.01)^(1/1) * gene_modifier + exogenous_supply"
VT2,,KN1,,"VT2 = max(KN1, 0.01)^(1/1) * gene_modifier + exogenous_supply"
SPI1,,KN1,,"SPI1 = max(KN1, 0.01)^(1/1) * gene_modifier + exogenous_supply"
Auxin,,"VT2,SPI1",,"Auxin = (max(VT2, 0.01) * max(SPI1, 0.01))^(1/2) * gene_modifier + exogenous_supply"
TIR1,,"Auxin,KN1",,"TIR1 = (max(Auxin, 0.01) * max(KN1, 0.01))^(1/2) * gene_modifier + exogenous_supply"
BIF1,,,TIR1,"BIF1 = min(1/max(TIR1, 0.1), 10.0) * gene_modifier + exogenous_supply"
BIF2,,"UB3,UB2",,"BIF2 = (max(UB3, 0.01) * max(UB2, 0.01))^(1/2) * gene_modifier + exogenous_supply"
ZMPIN1A,,"BIF2,ABPH1,KN1",,"ZMPIN1A = (max(BIF2, 0.01) * max(ABPH1, 0.01) * max(KN1, 0.01))^(1/3) * gene_modifier + exogenous_supply"
BA1,,"ARF6,BIF2,FEA4",BIF1,"BA1 = (max(ARF6, 0.01) * max(BIF2, 0.01) * max(FEA4, 0.01))^(1/3) * min(1/max(BIF1, 0.1), 10.0) * gene_modifier + exogenous_supply"
BA2,,BA1,,"BA2 = max(BA1, 0.01)^(1/1) * gene_modifier + exogenous_supply"
RA1,,"RA2,RA3,FEA4,IDS1",,"RA1 = (max(RA2, 0.01) * max(RA3, 0.01) * max(FEA4, 0.01) * max(IDS1, 0.01))^(1/4) * gene_modifier + exogenous_supply"
T6P,,,RA3,"T6P = min(1/max(RA3, 0.1), 10.0) * gene_modifier + exogenous_supply"
IDS1,,,miR172,"IDS1 = min(1/max(miR172, 0.1), 10.0) * gene_modifier + exogenous_supply"
SID1,,,miR172,"SID1 = min(1/max(miR172, 0.1), 10.0) * gene_modifier + exogenous_supply"
UB2,,FarRed_Light,miR156,"UB2 = max(FarRed_Light, 0.01)^(1/1) * min(1/max(miR156, 0.1), 10.0) * gene_modifier + exogenous_supply"
UB3,,UB2,miR156,"UB3 = max(UB2, 0.01)^(1/1) * min(1/max(miR156, 0.1), 10.0) * gene_modifier + exogenous_supply"
TSH4,,,miR156,"TSH4 = min(1/max(miR156, 0.1), 10.0) * gene_modifier + exogenous_supply"
ZMTCP30,,"UB3,UB2",,"ZMTCP30 = (max(UB3, 0.01) * max(UB2, 0.01))^(1/2) * gene_modifier + exogenous_supply"
AGAP,,KNR6,,"AGAP = max(KNR6, 0.01)^(1/1) * gene_modifier + exogenous_supply"
IM_Size,,"ZMWUS1,KN1,AGAP","TD1,CT2,ZMCRN,FEA4,UB3,REL2","IM_Size = (max(ZMWUS1, 0.01) * max(KN1, 0.01) * max(AGAP, 0.01))^(1/3) * min(1/max(TD1 * CT2 * ZMCRN * FEA4 * UB3 * REL2, 0.1), 10.0) * gene_modifier + exogenous_supply"
Axillary_Meristem,,"ZMPIN1A,BA1,BA2",RA1,"Axillary_Meristem = (max(ZMPIN1A, 0.01) * max(BA1, 0.01) * max(BA2, 0.01))^(1/3) * min(1/max(RA1, 0.1), 10.0) * gene_modifier + exogenous_supply"
Ear_Branching,,T6P,"RA1,IDS1,SID1","Ear_Branching = (max(T6P, 0.01))^(1/1) * min(1/max(RA1 * IDS1 * SID1, 0.1), 10.0) * gene_modifier + exogenous_supply"
Kernel_Row_Number,,"ZMTCP30,KRN5B,Axillary_Meristem,IM_Size","TSH4,KRN2,Ear_Branching,FEA4","Kernel_Row_Number = (max(ZMTCP30, 0.01) * max(KRN5B, 0.01) * max(Axillary_Meristem, 0.01) * max(IM_Size, 0.01))^(1/4) * min(1/max(TSH4 * KRN2 * Ear_Branching * FEA4, 0.1), 10.0) * gene_modifier + exogenous_supply"
