node,node_type,activators,inhibitors,formula
ATSIZ1,,,,ATSIZ1 = gene_modifier + exogenous_supply
null mutations in c3,,,,null mutations in c3 = gene_modifier + exogenous_supply
MIR159,,,,MIR159 = gene_modifier + exogenous_supply
WT,,,,WT = gene_modifier + exogenous_supply
GSF,,,,GSF = gene_modifier + exogenous_supply
Increased expression,,,,Increased expression = gene_modifier + exogenous_supply
IX,,,,IX = gene_modifier + exogenous_supply
AT-HSC70-1,,,,AT-HSC70-1 = gene_modifier + exogenous_supply
restoration of ligni,,,,restoration of ligni = gene_modifier + exogenous_supply
ATSEC8,,,,ATSEC8 = gene_modifier + exogenous_supply
β-estradiol treatmen,,,,β-estradiol treatmen = gene_modifier + exogenous_supply
RPS4,,,,RPS4 = gene_modifier + exogenous_supply
FM,,,,FM = gene_modifier + exogenous_supply
ATCRT3,,,,ATCRT3 = gene_modifier + exogenous_supply
CAMTA1,,,,CAMTA1 = gene_modifier + exogenous_supply
ANQ1,,,,ANQ1 = gene_modifier + exogenous_supply
AUTOIMMUNITY,,,,AUTOIMMUNITY = gene_modifier + exogenous_supply
Auxin,,,,Auxin = gene_modifier + exogenous_supply
ATLMCO4,,,,ATLMCO4 = gene_modifier + exogenous_supply
Inability to salvage,,,,Inability to salvage = gene_modifier + exogenous_supply
brassinazole treatme,,,,brassinazole treatme = gene_modifier + exogenous_supply
BNCHMP7,,,,BNCHMP7 = gene_modifier + exogenous_supply
sup6-2,,,,sup6-2 = gene_modifier + exogenous_supply
SWEETIE,,,,SWEETIE = gene_modifier + exogenous_supply
Reduced cellulose an,,,,Reduced cellulose an = gene_modifier + exogenous_supply
FHY3,,,,FHY3 = gene_modifier + exogenous_supply
DFL1,,,,DFL1 = gene_modifier + exogenous_supply
THF,,,,THF = gene_modifier + exogenous_supply
DELLA,,,,DELLA = gene_modifier + exogenous_supply
CAC3,,,,CAC3 = gene_modifier + exogenous_supply
Genetic lesion,,,,Genetic lesion = gene_modifier + exogenous_supply
A. thaliana overexpr,,,,A. thaliana overexpr = gene_modifier + exogenous_supply
CK,,,,CK = gene_modifier + exogenous_supply
ATICS1,,,,ATICS1 = gene_modifier + exogenous_supply
S891D,,,,S891D = gene_modifier + exogenous_supply
GA2OX,,,,GA2OX = gene_modifier + exogenous_supply
CRWN,,,,CRWN = gene_modifier + exogenous_supply
Overexpression of Na,,,,Overexpression of Na = gene_modifier + exogenous_supply
ATIAMT1,,,,ATIAMT1 = gene_modifier + exogenous_supply
S2LB,,,,S2LB = gene_modifier + exogenous_supply
PP4R3,,,,PP4R3 = gene_modifier + exogenous_supply
DEXAMETHASONE,,,,DEXAMETHASONE = gene_modifier + exogenous_supply
EDS,,,,EDS = gene_modifier + exogenous_supply
BR6OX2,,,,BR6OX2 = gene_modifier + exogenous_supply
PRE1,,,,PRE1 = gene_modifier + exogenous_supply
ATSWI3B,,,,ATSWI3B = gene_modifier + exogenous_supply
ATMPK4,,,,ATMPK4 = gene_modifier + exogenous_supply
METHOTREXATE,,,,METHOTREXATE = gene_modifier + exogenous_supply
MED33B,,,,MED33B = gene_modifier + exogenous_supply
Deficiency of thermo,,,,Deficiency of thermo = gene_modifier + exogenous_supply
ANAC104,,,,ANAC104 = gene_modifier + exogenous_supply
vamp721vamp722 doubl,,,,vamp721vamp722 doubl = gene_modifier + exogenous_supply
development of MrCBF,,,,development of MrCBF = gene_modifier + exogenous_supply
ATEDS1,,,,ATEDS1 = gene_modifier + exogenous_supply
GA2OX5,,,,GA2OX5 = gene_modifier + exogenous_supply
PS,,,,PS = gene_modifier + exogenous_supply
Growth at 28°C,,,,Growth at 28°C = gene_modifier + exogenous_supply
35S:PvTDIFL1 transge,,,,35S:PvTDIFL1 transge = gene_modifier + exogenous_supply
ABCB25,,,,ABCB25 = gene_modifier + exogenous_supply
Actin from Candida a,,,,Actin from Candida a = gene_modifier + exogenous_supply
ATPAD4,,,,ATPAD4 = gene_modifier + exogenous_supply
ALDH5F1,,,,ALDH5F1 = gene_modifier + exogenous_supply
AUR3,,,,AUR3 = gene_modifier + exogenous_supply
ATLAC17,,,,ATLAC17 = gene_modifier + exogenous_supply
overexpression of Pt,,,,overexpression of Pt = gene_modifier + exogenous_supply
DAF1,,,,DAF1 = gene_modifier + exogenous_supply
LL,,,,LL = gene_modifier + exogenous_supply
5FU,,,,5FU = gene_modifier + exogenous_supply
ATGA2OX4,,,,ATGA2OX4 = gene_modifier + exogenous_supply
ATMKK7,,,,ATMKK7 = gene_modifier + exogenous_supply
ATC4H,,,,ATC4H = gene_modifier + exogenous_supply
BL,,,,BL = gene_modifier + exogenous_supply
BSL2,,,,BSL2 = gene_modifier + exogenous_supply
ATFTSH4,,,,ATFTSH4 = gene_modifier + exogenous_supply
AVR2,,,,AVR2 = gene_modifier + exogenous_supply
A. thaliana,,,,A. thaliana = gene_modifier + exogenous_supply
ATMSH1,,,,ATMSH1 = gene_modifier + exogenous_supply
WAK2CTAP,,,,WAK2CTAP = gene_modifier + exogenous_supply
PEAMT1,,,,PEAMT1 = gene_modifier + exogenous_supply
CTR1,,,,CTR1 = gene_modifier + exogenous_supply
Genetic incompatibil,,,,Genetic incompatibil = gene_modifier + exogenous_supply
Actin from Saccharom,,,,Actin from Saccharom = gene_modifier + exogenous_supply
RG,,,,RG = gene_modifier + exogenous_supply
ADENINE,,,,ADENINE = gene_modifier + exogenous_supply
BAHD,,,,BAHD = gene_modifier + exogenous_supply
Overexpression of mi,,,,Overexpression of mi = gene_modifier + exogenous_supply
loss of all ERfs,,,,loss of all ERfs = gene_modifier + exogenous_supply
DWF4,,,,DWF4 = gene_modifier + exogenous_supply
BES1,,,,BES1 = gene_modifier + exogenous_supply
over-expression of P,,,,over-expression of P = gene_modifier + exogenous_supply
SCYL2A,,,,SCYL2A = gene_modifier + exogenous_supply
ATEDEM1,,,,ATEDEM1 = gene_modifier + exogenous_supply
ATNPR1,,,,ATNPR1 = gene_modifier + exogenous_supply
ET,,,,ET = gene_modifier + exogenous_supply
ASL19,,,,ASL19 = gene_modifier + exogenous_supply
CPL4,,,,CPL4 = gene_modifier + exogenous_supply
YCZ,,,,YCZ = gene_modifier + exogenous_supply
Mutation of exocyst ,,,,Mutation of exocyst  = gene_modifier + exogenous_supply
HPY2,,,,HPY2 = gene_modifier + exogenous_supply
Ethylene,,,,Ethylene = gene_modifier + exogenous_supply
High-salinity stress,,,,High-salinity stress = gene_modifier + exogenous_supply
ATPAT10,,,,ATPAT10 = gene_modifier + exogenous_supply
ATRIN4,,,,ATRIN4 = gene_modifier + exogenous_supply
LAC11,,,,LAC11 = gene_modifier + exogenous_supply
SUMM2,,,,SUMM2 = gene_modifier + exogenous_supply
LRR,,,,LRR = gene_modifier + exogenous_supply
GA20OX1,,,,GA20OX1 = gene_modifier + exogenous_supply
differential accumul,,,,differential accumul = gene_modifier + exogenous_supply
nerd1-1 sec8-6 doubl,,,,nerd1-1 sec8-6 doubl = gene_modifier + exogenous_supply
EBS1,,,,EBS1 = gene_modifier + exogenous_supply
CBFS,,,,CBFS = gene_modifier + exogenous_supply
C4H,,,,C4H = gene_modifier + exogenous_supply
JA,,,,JA = gene_modifier + exogenous_supply
ATMYB24,,,,ATMYB24 = gene_modifier + exogenous_supply
ATGA2OX3,,,,ATGA2OX3 = gene_modifier + exogenous_supply
mutant TkBAHD allele,,,,mutant TkBAHD allele = gene_modifier + exogenous_supply
CENH3,,,,CENH3 = gene_modifier + exogenous_supply
BTL1,,,,BTL1 = gene_modifier + exogenous_supply
AtPHT4;1,,,,AtPHT4;1 = gene_modifier + exogenous_supply
BRI1,,,,BRI1 = gene_modifier + exogenous_supply
CTP,,,,CTP = gene_modifier + exogenous_supply
TENGU,,,,TENGU = gene_modifier + exogenous_supply
AT2353,,,,AT2353 = gene_modifier + exogenous_supply
ATCBF3,,,,ATCBF3 = gene_modifier + exogenous_supply
ATKH27,,,,ATKH27 = gene_modifier + exogenous_supply
puf2 rha1 double mut,,,,puf2 rha1 double mut = gene_modifier + exogenous_supply
ATDOF5.4,,,,ATDOF5.4 = gene_modifier + exogenous_supply
PHT4;6,,,,PHT4;6 = gene_modifier + exogenous_supply
knockout of four of ,,,,knockout of four of  = gene_modifier + exogenous_supply
RIN13,,,,RIN13 = gene_modifier + exogenous_supply
Turnip Mosaic Virus,,,,Turnip Mosaic Virus = gene_modifier + exogenous_supply
SCYL2B,,,,SCYL2B = gene_modifier + exogenous_supply
ATXR3,,,,ATXR3 = gene_modifier + exogenous_supply
ARAKIN,,,,ARAKIN = gene_modifier + exogenous_supply
NHP,,,,NHP = gene_modifier + exogenous_supply
2F-Fuc,,,,2F-Fuc = gene_modifier + exogenous_supply
EXO84B,,,,EXO84B = gene_modifier + exogenous_supply
ATMYB58,,,,ATMYB58 = gene_modifier + exogenous_supply
snc1/eds1-2 double m,,,,snc1/eds1-2 double m = gene_modifier + exogenous_supply
TSBAHD,,,,TSBAHD = gene_modifier + exogenous_supply
MKS1,,,,MKS1 = gene_modifier + exogenous_supply
ATWRKY52,,,,ATWRKY52 = gene_modifier + exogenous_supply
