node,node_type,activators,inhibitors,formula
ATGA20OX3,,,,ATGA20OX3 = 1.0 * 1.0 * gene_modifier + exogenous
ATNUP62,,,,ATNUP62 = 1.0 * 1.0 * gene_modifier + exogenous
Phytoplasma infectio,,,,Phytoplasma infectio = 1.0 * 1.0 * gene_modifier + exogenous
CWPO,,,,CWPO = 1.0 * 1.0 * gene_modifier + exogenous
PSS1,,,,PSS1 = 1.0 * 1.0 * gene_modifier + exogenous
ATMYB63,,,,ATMYB63 = 1.0 * 1.0 * gene_modifier + exogenous
Gibberellin,,,,Gibberellin = 1.0 * 1.0 * gene_modifier + exogenous
ATMYB118,,,,ATMYB118 = 1.0 * 1.0 * gene_modifier + exogenous
LUX,,,,LUX = 1.0 * 1.0 * gene_modifier + exogenous
ALD1,,,,ALD1 = 1.0 * 1.0 * gene_modifier + exogenous
CRWN1,,,,CRWN1 = 1.0 * 1.0 * gene_modifier + exogenous
Constitutive express,,,,Constitutive express = 1.0 * 1.0 * gene_modifier + exogenous
Test compounds,,,,Test compounds = 1.0 * 1.0 * gene_modifier + exogenous
A mutation,,,,A mutation = 1.0 * 1.0 * gene_modifier + exogenous
VHYNP,,,,VHYNP = 1.0 * 1.0 * gene_modifier + exogenous
VUP1,,,,VUP1 = 1.0 * 1.0 * gene_modifier + exogenous
ATFKBP42,,,,ATFKBP42 = 1.0 * 1.0 * gene_modifier + exogenous
DGDG,,,,DGDG = 1.0 * 1.0 * gene_modifier + exogenous
ATERF6,,,,ATERF6 = 1.0 * 1.0 * gene_modifier + exogenous
inhibition of cell e,,,,inhibition of cell e = 1.0 * 1.0 * gene_modifier + exogenous
DR1,,,,DR1 = 1.0 * 1.0 * gene_modifier + exogenous
ATMMS21,,,,ATMMS21 = 1.0 * 1.0 * gene_modifier + exogenous
TKBAHDH,,,,TKBAHDH = 1.0 * 1.0 * gene_modifier + exogenous
E138K,,,,E138K = 1.0 * 1.0 * gene_modifier + exogenous
MOT1,,,,MOT1 = 1.0 * 1.0 * gene_modifier + exogenous
ABS1,,,,ABS1 = 1.0 * 1.0 * gene_modifier + exogenous
FMO1,,,,FMO1 = 1.0 * 1.0 * gene_modifier + exogenous
ATIWS1,,,,ATIWS1 = 1.0 * 1.0 * gene_modifier + exogenous
transgenic plant(s) ,,,,transgenic plant(s)  = 1.0 * 1.0 * gene_modifier + exogenous
CsCBF3 overexpressio,,,,CsCBF3 overexpressio = 1.0 * 1.0 * gene_modifier + exogenous
SA,,,,SA = 1.0 * 1.0 * gene_modifier + exogenous
defects in cytokines,,,,defects in cytokines = 1.0 * 1.0 * gene_modifier + exogenous
GH3,,,,GH3 = 1.0 * 1.0 * gene_modifier + exogenous
ATDDF1,,,,ATDDF1 = 1.0 * 1.0 * gene_modifier + exogenous
Overexpression of Dc,,,,Overexpression of Dc = 1.0 * 1.0 * gene_modifier + exogenous
DICE1,,,,DICE1 = 1.0 * 1.0 * gene_modifier + exogenous
Brassinolide,,,,Brassinolide = 1.0 * 1.0 * gene_modifier + exogenous
CDKF,,,,CDKF = 1.0 * 1.0 * gene_modifier + exogenous
ARR2,,,,ARR2 = 1.0 * 1.0 * gene_modifier + exogenous
Overexpression of Ml,,,,Overexpression of Ml = 1.0 * 1.0 * gene_modifier + exogenous
SHL,,,,SHL = 1.0 * 1.0 * gene_modifier + exogenous
R3,,,,R3 = 1.0 * 1.0 * gene_modifier + exogenous
CCD7,,,,CCD7 = 1.0 * 1.0 * gene_modifier + exogenous
ALA4,,,,ALA4 = 1.0 * 1.0 * gene_modifier + exogenous
LOP1,,,,LOP1 = 1.0 * 1.0 * gene_modifier + exogenous
azole derivatives,,,,azole derivatives = 1.0 * 1.0 * gene_modifier + exogenous
MOS11,,,,MOS11 = 1.0 * 1.0 * gene_modifier + exogenous
ATDDF2,,,,ATDDF2 = 1.0 * 1.0 * gene_modifier + exogenous
ATWIND1,,,,ATWIND1 = 1.0 * 1.0 * gene_modifier + exogenous
Knocking-out both At,,,,Knocking-out both At = 1.0 * 1.0 * gene_modifier + exogenous
ATOS9,,,,ATOS9 = 1.0 * 1.0 * gene_modifier + exogenous
ATNUP160,,,,ATNUP160 = 1.0 * 1.0 * gene_modifier + exogenous
pht4;1-1,,,,pht4;1-1 = 1.0 * 1.0 * gene_modifier + exogenous
KAK,,,,KAK = 1.0 * 1.0 * gene_modifier + exogenous
ATSIZ1,,,,ATSIZ1 = 1.0 * 1.0 * gene_modifier + exogenous
null mutations in c3,,,,null mutations in c3 = 1.0 * 1.0 * gene_modifier + exogenous
MIR159,,,,MIR159 = 1.0 * 1.0 * gene_modifier + exogenous
WT,,,,WT = 1.0 * 1.0 * gene_modifier + exogenous
GSF,,,,GSF = 1.0 * 1.0 * gene_modifier + exogenous
Increased expression,,,,Increased expression = 1.0 * 1.0 * gene_modifier + exogenous
IX,,,,IX = 1.0 * 1.0 * gene_modifier + exogenous
AT-HSC70-1,,,,AT-HSC70-1 = 1.0 * 1.0 * gene_modifier + exogenous
restoration of ligni,,,,restoration of ligni = 1.0 * 1.0 * gene_modifier + exogenous
ATSEC8,,,,ATSEC8 = 1.0 * 1.0 * gene_modifier + exogenous
β-estradiol treatmen,,,,β-estradiol treatmen = 1.0 * 1.0 * gene_modifier + exogenous
RPS4,,,,RPS4 = 1.0 * 1.0 * gene_modifier + exogenous
FM,,,,FM = 1.0 * 1.0 * gene_modifier + exogenous
ATCRT3,,,,ATCRT3 = 1.0 * 1.0 * gene_modifier + exogenous
CAMTA1,,,,CAMTA1 = 1.0 * 1.0 * gene_modifier + exogenous
ANQ1,,,,ANQ1 = 1.0 * 1.0 * gene_modifier + exogenous
AUTOIMMUNITY,,,,AUTOIMMUNITY = 1.0 * 1.0 * gene_modifier + exogenous
Auxin,,,,Auxin = 1.0 * 1.0 * gene_modifier + exogenous
ATLMCO4,,,,ATLMCO4 = 1.0 * 1.0 * gene_modifier + exogenous
Inability to salvage,,,,Inability to salvage = 1.0 * 1.0 * gene_modifier + exogenous
brassinazole treatme,,,,brassinazole treatme = 1.0 * 1.0 * gene_modifier + exogenous
BNCHMP7,,,,BNCHMP7 = 1.0 * 1.0 * gene_modifier + exogenous
sup6-2,,,,sup6-2 = 1.0 * 1.0 * gene_modifier + exogenous
SWEETIE,,,,SWEETIE = 1.0 * 1.0 * gene_modifier + exogenous
Reduced cellulose an,,,,Reduced cellulose an = 1.0 * 1.0 * gene_modifier + exogenous
FHY3,,,,FHY3 = 1.0 * 1.0 * gene_modifier + exogenous
DFL1,,,,DFL1 = 1.0 * 1.0 * gene_modifier + exogenous
THF,,,,THF = 1.0 * 1.0 * gene_modifier + exogenous
DELLA,,,,DELLA = 1.0 * 1.0 * gene_modifier + exogenous
CAC3,,,,CAC3 = 1.0 * 1.0 * gene_modifier + exogenous
Genetic lesion,,,,Genetic lesion = 1.0 * 1.0 * gene_modifier + exogenous
A. thaliana overexpr,,,,A. thaliana overexpr = 1.0 * 1.0 * gene_modifier + exogenous
CK,,,,CK = 1.0 * 1.0 * gene_modifier + exogenous
ATICS1,,,,ATICS1 = 1.0 * 1.0 * gene_modifier + exogenous
S891D,,,,S891D = 1.0 * 1.0 * gene_modifier + exogenous
GA2OX,,,,GA2OX = 1.0 * 1.0 * gene_modifier + exogenous
CRWN,,,,CRWN = 1.0 * 1.0 * gene_modifier + exogenous
Overexpression of Na,,,,Overexpression of Na = 1.0 * 1.0 * gene_modifier + exogenous
ATIAMT1,,,,ATIAMT1 = 1.0 * 1.0 * gene_modifier + exogenous
S2LB,,,,S2LB = 1.0 * 1.0 * gene_modifier + exogenous
PP4R3,,,,PP4R3 = 1.0 * 1.0 * gene_modifier + exogenous
DEXAMETHASONE,,,,DEXAMETHASONE = 1.0 * 1.0 * gene_modifier + exogenous
EDS,,,,EDS = 1.0 * 1.0 * gene_modifier + exogenous
BR6OX2,,,,BR6OX2 = 1.0 * 1.0 * gene_modifier + exogenous
PRE1,,,,PRE1 = 1.0 * 1.0 * gene_modifier + exogenous
ATSWI3B,,,,ATSWI3B = 1.0 * 1.0 * gene_modifier + exogenous
ATMPK4,,,,ATMPK4 = 1.0 * 1.0 * gene_modifier + exogenous
METHOTREXATE,,,,METHOTREXATE = 1.0 * 1.0 * gene_modifier + exogenous
MED33B,,,,MED33B = 1.0 * 1.0 * gene_modifier + exogenous
Deficiency of thermo,,,,Deficiency of thermo = 1.0 * 1.0 * gene_modifier + exogenous
ANAC104,,,,ANAC104 = 1.0 * 1.0 * gene_modifier + exogenous
vamp721vamp722 doubl,,,,vamp721vamp722 doubl = 1.0 * 1.0 * gene_modifier + exogenous
development of MrCBF,,,,development of MrCBF = 1.0 * 1.0 * gene_modifier + exogenous
ATEDS1,,,,ATEDS1 = 1.0 * 1.0 * gene_modifier + exogenous
GA2OX5,,,,GA2OX5 = 1.0 * 1.0 * gene_modifier + exogenous
PS,,,,PS = 1.0 * 1.0 * gene_modifier + exogenous
Growth at 28°C,,,,Growth at 28°C = 1.0 * 1.0 * gene_modifier + exogenous
35S:PvTDIFL1 transge,,,,35S:PvTDIFL1 transge = 1.0 * 1.0 * gene_modifier + exogenous
ABCB25,,,,ABCB25 = 1.0 * 1.0 * gene_modifier + exogenous
Actin from Candida a,,,,Actin from Candida a = 1.0 * 1.0 * gene_modifier + exogenous
ATPAD4,,,,ATPAD4 = 1.0 * 1.0 * gene_modifier + exogenous
ALDH5F1,,,,ALDH5F1 = 1.0 * 1.0 * gene_modifier + exogenous
AUR3,,,,AUR3 = 1.0 * 1.0 * gene_modifier + exogenous
ATLAC17,,,,ATLAC17 = 1.0 * 1.0 * gene_modifier + exogenous
overexpression of Pt,,,,overexpression of Pt = 1.0 * 1.0 * gene_modifier + exogenous
DAF1,,,,DAF1 = 1.0 * 1.0 * gene_modifier + exogenous
LL,,,,LL = 1.0 * 1.0 * gene_modifier + exogenous
5FU,,,,5FU = 1.0 * 1.0 * gene_modifier + exogenous
ATGA2OX4,,,,ATGA2OX4 = 1.0 * 1.0 * gene_modifier + exogenous
ATMKK7,,,,ATMKK7 = 1.0 * 1.0 * gene_modifier + exogenous
ATC4H,,,,ATC4H = 1.0 * 1.0 * gene_modifier + exogenous
BL,,,,BL = 1.0 * 1.0 * gene_modifier + exogenous
BSL2,,,,BSL2 = 1.0 * 1.0 * gene_modifier + exogenous
ATFTSH4,,,,ATFTSH4 = 1.0 * 1.0 * gene_modifier + exogenous
AVR2,,,,AVR2 = 1.0 * 1.0 * gene_modifier + exogenous
A. thaliana,,,,A. thaliana = 1.0 * 1.0 * gene_modifier + exogenous
ATMSH1,,,,ATMSH1 = 1.0 * 1.0 * gene_modifier + exogenous
WAK2CTAP,,,,WAK2CTAP = 1.0 * 1.0 * gene_modifier + exogenous
PEAMT1,,,,PEAMT1 = 1.0 * 1.0 * gene_modifier + exogenous
CTR1,,,,CTR1 = 1.0 * 1.0 * gene_modifier + exogenous
Genetic incompatibil,,,,Genetic incompatibil = 1.0 * 1.0 * gene_modifier + exogenous
Actin from Saccharom,,,,Actin from Saccharom = 1.0 * 1.0 * gene_modifier + exogenous
RG,,,,RG = 1.0 * 1.0 * gene_modifier + exogenous
ADENINE,,,,ADENINE = 1.0 * 1.0 * gene_modifier + exogenous
BAHD,,,,BAHD = 1.0 * 1.0 * gene_modifier + exogenous
Overexpression of mi,,,,Overexpression of mi = 1.0 * 1.0 * gene_modifier + exogenous
loss of all ERfs,,,,loss of all ERfs = 1.0 * 1.0 * gene_modifier + exogenous
DWF4,,,,DWF4 = 1.0 * 1.0 * gene_modifier + exogenous
BES1,,,,BES1 = 1.0 * 1.0 * gene_modifier + exogenous
over-expression of P,,,,over-expression of P = 1.0 * 1.0 * gene_modifier + exogenous
SCYL2A,,,,SCYL2A = 1.0 * 1.0 * gene_modifier + exogenous
ATEDEM1,,,,ATEDEM1 = 1.0 * 1.0 * gene_modifier + exogenous
ATNPR1,,,,ATNPR1 = 1.0 * 1.0 * gene_modifier + exogenous
ET,,,,ET = 1.0 * 1.0 * gene_modifier + exogenous
ASL19,,,,ASL19 = 1.0 * 1.0 * gene_modifier + exogenous
CPL4,,,,CPL4 = 1.0 * 1.0 * gene_modifier + exogenous
YCZ,,,,YCZ = 1.0 * 1.0 * gene_modifier + exogenous
Mutation of exocyst ,,,,Mutation of exocyst  = 1.0 * 1.0 * gene_modifier + exogenous
HPY2,,,,HPY2 = 1.0 * 1.0 * gene_modifier + exogenous
Ethylene,,,,Ethylene = 1.0 * 1.0 * gene_modifier + exogenous
High-salinity stress,,,,High-salinity stress = 1.0 * 1.0 * gene_modifier + exogenous
ATPAT10,,,,ATPAT10 = 1.0 * 1.0 * gene_modifier + exogenous
ATRIN4,,,,ATRIN4 = 1.0 * 1.0 * gene_modifier + exogenous
LAC11,,,,LAC11 = 1.0 * 1.0 * gene_modifier + exogenous
SUMM2,,,,SUMM2 = 1.0 * 1.0 * gene_modifier + exogenous
LRR,,,,LRR = 1.0 * 1.0 * gene_modifier + exogenous
GA20OX1,,,,GA20OX1 = 1.0 * 1.0 * gene_modifier + exogenous
differential accumul,,,,differential accumul = 1.0 * 1.0 * gene_modifier + exogenous
nerd1-1 sec8-6 doubl,,,,nerd1-1 sec8-6 doubl = 1.0 * 1.0 * gene_modifier + exogenous
EBS1,,,,EBS1 = 1.0 * 1.0 * gene_modifier + exogenous
CBFS,,,,CBFS = 1.0 * 1.0 * gene_modifier + exogenous
C4H,,,,C4H = 1.0 * 1.0 * gene_modifier + exogenous
JA,,,,JA = 1.0 * 1.0 * gene_modifier + exogenous
ATMYB24,,,,ATMYB24 = 1.0 * 1.0 * gene_modifier + exogenous
ATGA2OX3,,,,ATGA2OX3 = 1.0 * 1.0 * gene_modifier + exogenous
mutant TkBAHD allele,,,,mutant TkBAHD allele = 1.0 * 1.0 * gene_modifier + exogenous
CENH3,,,,CENH3 = 1.0 * 1.0 * gene_modifier + exogenous
BTL1,,,,BTL1 = 1.0 * 1.0 * gene_modifier + exogenous
AtPHT4;1,,,,AtPHT4;1 = 1.0 * 1.0 * gene_modifier + exogenous
BRI1,,,,BRI1 = 1.0 * 1.0 * gene_modifier + exogenous
CTP,,,,CTP = 1.0 * 1.0 * gene_modifier + exogenous
TENGU,,,,TENGU = 1.0 * 1.0 * gene_modifier + exogenous
AT2353,,,,AT2353 = 1.0 * 1.0 * gene_modifier + exogenous
ATCBF3,,,,ATCBF3 = 1.0 * 1.0 * gene_modifier + exogenous
ATKH27,,,,ATKH27 = 1.0 * 1.0 * gene_modifier + exogenous
puf2 rha1 double mut,,,,puf2 rha1 double mut = 1.0 * 1.0 * gene_modifier + exogenous
ATDOF5.4,,,,ATDOF5.4 = 1.0 * 1.0 * gene_modifier + exogenous
PHT4;6,,,,PHT4;6 = 1.0 * 1.0 * gene_modifier + exogenous
knockout of four of ,,,,knockout of four of  = 1.0 * 1.0 * gene_modifier + exogenous
RIN13,,,,RIN13 = 1.0 * 1.0 * gene_modifier + exogenous
Turnip Mosaic Virus,,,,Turnip Mosaic Virus = 1.0 * 1.0 * gene_modifier + exogenous
SCYL2B,,,,SCYL2B = 1.0 * 1.0 * gene_modifier + exogenous
ATXR3,,,,ATXR3 = 1.0 * 1.0 * gene_modifier + exogenous
ARAKIN,,,,ARAKIN = 1.0 * 1.0 * gene_modifier + exogenous
NHP,,,,NHP = 1.0 * 1.0 * gene_modifier + exogenous
2F-Fuc,,,,2F-Fuc = 1.0 * 1.0 * gene_modifier + exogenous
EXO84B,,,,EXO84B = 1.0 * 1.0 * gene_modifier + exogenous
ATMYB58,,,,ATMYB58 = 1.0 * 1.0 * gene_modifier + exogenous
snc1/eds1-2 double m,,,,snc1/eds1-2 double m = 1.0 * 1.0 * gene_modifier + exogenous
TSBAHD,,,,TSBAHD = 1.0 * 1.0 * gene_modifier + exogenous
MKS1,,,,MKS1 = 1.0 * 1.0 * gene_modifier + exogenous
ATWRKY52,,,,ATWRKY52 = 1.0 * 1.0 * gene_modifier + exogenous
