node,node_type,activators,inhibitors,formula
Brassinosteroid,,,,Brassinosteroid = gene_modifier + exogenous_supply
PSK,,,,PSK = gene_modifier + exogenous_supply
XsAP2 gene(s),,,,XsAP2 gene(s) = gene_modifier + exogenous_supply
CHR7,,,,CHR7 = gene_modifier + exogenous_supply
transgenic A. thalia,,,,transgenic A. thalia = gene_modifier + exogenous_supply
A. thaliana mutants,,,,A. thaliana mutants = gene_modifier + exogenous_supply
parent-of-origin eff,,,,parent-of-origin eff = gene_modifier + exogenous_supply
TaZIP gene(s),,,,TaZIP gene(s) = gene_modifier + exogenous_supply
HAIKU,,,,HAIKU = gene_modifier + exogenous_supply
OES,,,,OES = gene_modifier + exogenous_supply
MINI3,,,,MINI3 = gene_modifier + exogenous_supply
KLU,,,,KLU = gene_modifier + exogenous_supply
Maternal and paterna,,,,Maternal and paterna = gene_modifier + exogenous_supply
DDM2,,,,DDM2 = gene_modifier + exogenous_supply
DA1,,,,DA1 = gene_modifier + exogenous_supply
nutrient sink effect,,,,nutrient sink effect = gene_modifier + exogenous_supply
AP2,,,,AP2 = gene_modifier + exogenous_supply
ANT,,,,ANT = gene_modifier + exogenous_supply
AN3,,,,AN3 = gene_modifier + exogenous_supply
ARF2,,,,ARF2 = gene_modifier + exogenous_supply
life history,,,,life history = gene_modifier + exogenous_supply
VVAGL12,,,,VVAGL12 = gene_modifier + exogenous_supply
Reduced expression o,,,,Reduced expression o = gene_modifier + exogenous_supply
EOD3,,,,EOD3 = gene_modifier + exogenous_supply
DA2,,,,DA2 = gene_modifier + exogenous_supply
YUC4,,,,YUC4 = gene_modifier + exogenous_supply
CKX2,,,,CKX2 = gene_modifier + exogenous_supply
ABAP1,,,,ABAP1 = gene_modifier + exogenous_supply
limitation in nutrie,,,,limitation in nutrie = gene_modifier + exogenous_supply
AUXIN,,,,AUXIN = gene_modifier + exogenous_supply
EOD1,,,,EOD1 = gene_modifier + exogenous_supply
EMBRYO,,,,EMBRYO = gene_modifier + exogenous_supply
T-6b,,,,T-6b = gene_modifier + exogenous_supply
IMPRINTING,,,,IMPRINTING = gene_modifier + exogenous_supply
transition from sync,,,,transition from sync = gene_modifier + exogenous_supply
BZR1,,,,BZR1 = gene_modifier + exogenous_supply
DPA4,,,,DPA4 = gene_modifier + exogenous_supply
genome balance in en,,,,genome balance in en = gene_modifier + exogenous_supply
AGC1,,,,AGC1 = gene_modifier + exogenous_supply
ATFAX1,,,,ATFAX1 = gene_modifier + exogenous_supply
UBP15,,,,UBP15 = gene_modifier + exogenous_supply
P1W,,,,P1W = gene_modifier + exogenous_supply
T540,,,,T540 = gene_modifier + exogenous_supply
paternal genome exce,,,,paternal genome exce = gene_modifier + exogenous_supply
CHD3,,,,CHD3 = gene_modifier + exogenous_supply
EMB71,,,,EMB71 = gene_modifier + exogenous_supply
truncated R domain,,,,truncated R domain = gene_modifier + exogenous_supply
AGL63,,,,AGL63 = gene_modifier + exogenous_supply
reduced seed product,,,,reduced seed product = gene_modifier + exogenous_supply
SHB1,,,,SHB1 = gene_modifier + exogenous_supply
loss of ULTRAPETALA1,,,,loss of ULTRAPETALA1 = gene_modifier + exogenous_supply
PMEI6,,,,PMEI6 = gene_modifier + exogenous_supply
Specific mutations,,,,Specific mutations = gene_modifier + exogenous_supply
early expansion of c,,,,early expansion of c = gene_modifier + exogenous_supply
ATMPK10,,,,ATMPK10 = gene_modifier + exogenous_supply
growth conditions,,,,growth conditions = gene_modifier + exogenous_supply
AMI1,,,,AMI1 = gene_modifier + exogenous_supply
GMMYB73,,,,GMMYB73 = gene_modifier + exogenous_supply
APUM24,,,,APUM24 = gene_modifier + exogenous_supply
cytonuclear interact,,,,cytonuclear interact = gene_modifier + exogenous_supply
AGL,,,,AGL = gene_modifier + exogenous_supply
AGL62,,,,AGL62 = gene_modifier + exogenous_supply
Maternal excess hybr,,,,Maternal excess hybr = gene_modifier + exogenous_supply
STPL,,,,STPL = gene_modifier + exogenous_supply
soluble sugar accumu,,,,soluble sugar accumu = gene_modifier + exogenous_supply
GhDA1-1AR301K mutant,,,,GhDA1-1AR301K mutant = gene_modifier + exogenous_supply
CYCD7,,,,CYCD7 = gene_modifier + exogenous_supply
ATWRKY6,,,,ATWRKY6 = gene_modifier + exogenous_supply
GAI,,,,GAI = gene_modifier + exogenous_supply
Defoliation during f,,,,Defoliation during f = gene_modifier + exogenous_supply
MEE45,,,,MEE45 = gene_modifier + exogenous_supply
IKU2,,,,IKU2 = gene_modifier + exogenous_supply
BRI1,,,,BRI1 = gene_modifier + exogenous_supply
Sibling abortion,,,,Sibling abortion = gene_modifier + exogenous_supply
Overexpression of Gh,,,,Overexpression of Gh = gene_modifier + exogenous_supply
TTG2,,,,TTG2 = gene_modifier + exogenous_supply
IKU1,,,,IKU1 = gene_modifier + exogenous_supply
parental genome dosa,,,,parental genome dosa = gene_modifier + exogenous_supply
HDG9,,,,HDG9 = gene_modifier + exogenous_supply
TT15,,,,TT15 = gene_modifier + exogenous_supply
GhDA1-1AR301K,,,,GhDA1-1AR301K = gene_modifier + exogenous_supply
NODGTT5,,,,NODGTT5 = gene_modifier + exogenous_supply
TASERK1,,,,TASERK1 = gene_modifier + exogenous_supply
altered expression,,,,altered expression = gene_modifier + exogenous_supply
SOD7,,,,SOD7 = gene_modifier + exogenous_supply
TaNAK1.2,,,,TaNAK1.2 = gene_modifier + exogenous_supply
constitutive express,,,,constitutive express = gene_modifier + exogenous_supply
LPFC,,,,LPFC = gene_modifier + exogenous_supply
MYCS,,,,MYCS = gene_modifier + exogenous_supply
lipopeptide treatmen,,,,lipopeptide treatmen = gene_modifier + exogenous_supply
autotetraploidy,,,,autotetraploidy = gene_modifier + exogenous_supply
CLE8,,,,CLE8 = gene_modifier + exogenous_supply
low redox buffering ,,,,low redox buffering  = gene_modifier + exogenous_supply
BnLEA3 gene(s),,,,BnLEA3 gene(s) = gene_modifier + exogenous_supply
16 gene(s),,,,16 gene(s) = gene_modifier + exogenous_supply
parental origin,,,,parental origin = gene_modifier + exogenous_supply
TEMPERATURE,,,,TEMPERATURE = gene_modifier + exogenous_supply
Overexpression of Gm,,,,Overexpression of Gm = gene_modifier + exogenous_supply
UMAMIT25,,,,UMAMIT25 = gene_modifier + exogenous_supply
Lack of water,,,,Lack of water = gene_modifier + exogenous_supply
paternal inheritance,,,,paternal inheritance = gene_modifier + exogenous_supply
BSK3,,,,BSK3 = gene_modifier + exogenous_supply
RPT2,,,,RPT2 = gene_modifier + exogenous_supply
Endosperm developmen,,,,Endosperm developmen = gene_modifier + exogenous_supply
NR,,,,NR = gene_modifier + exogenous_supply
AGL11,,,,AGL11 = gene_modifier + exogenous_supply
Napin-BnGRF2a transg,,,,Napin-BnGRF2a transg = gene_modifier + exogenous_supply
GHNAC2,,,,GHNAC2 = gene_modifier + exogenous_supply
Overexpression of Xs,,,,Overexpression of Xs = gene_modifier + exogenous_supply
ATRAV1,,,,ATRAV1 = gene_modifier + exogenous_supply
sibling lethality,,,,sibling lethality = gene_modifier + exogenous_supply
Maternal temperature,,,,Maternal temperature = gene_modifier + exogenous_supply
growth of endosperm,,,,growth of endosperm = gene_modifier + exogenous_supply
CYP78A9,,,,CYP78A9 = gene_modifier + exogenous_supply
GA,,,,GA = gene_modifier + exogenous_supply
OTP90,,,,OTP90 = gene_modifier + exogenous_supply
Increased expression,,,,Increased expression = gene_modifier + exogenous_supply
AA,,,,AA = gene_modifier + exogenous_supply
PPD1,,,,PPD1 = gene_modifier + exogenous_supply
DNA,,,,DNA = gene_modifier + exogenous_supply
Overexpression of ol,,,,Overexpression of ol = gene_modifier + exogenous_supply
Organellar genomes,,,,Organellar genomes = gene_modifier + exogenous_supply
IAA,,,,IAA = gene_modifier + exogenous_supply
TaNAK1.1,,,,TaNAK1.1 = gene_modifier + exogenous_supply
Auxin export defect,,,,Auxin export defect = gene_modifier + exogenous_supply
GIG1,,,,GIG1 = gene_modifier + exogenous_supply
DECREASE,,,,DECREASE = gene_modifier + exogenous_supply
C24,,,,C24 = gene_modifier + exogenous_supply
MAX2,,,,MAX2 = gene_modifier + exogenous_supply
Genome hybridization,,,,Genome hybridization = gene_modifier + exogenous_supply
increase in ovule si,,,,increase in ovule si = gene_modifier + exogenous_supply
severe nitrogen limi,,,,severe nitrogen limi = gene_modifier + exogenous_supply
Overexpression of At,,,,Overexpression of At = gene_modifier + exogenous_supply
Overexpression of Eg,,,,Overexpression of Eg = gene_modifier + exogenous_supply
Endosperm cellulariz,,,,Endosperm cellulariz = gene_modifier + exogenous_supply
TASERK2,,,,TASERK2 = gene_modifier + exogenous_supply
MINISEED3,,,,MINISEED3 = gene_modifier + exogenous_supply
TaSDIR1-4A-overexpre,,,,TaSDIR1-4A-overexpre = gene_modifier + exogenous_supply
HYBRIDITY,,,,HYBRIDITY = gene_modifier + exogenous_supply
