node,type,is_source,n_activators,activators,n_inhibitors,inhibitors,formula
Brassinosteroid,HORMONE,True,0,,0,,Brassinosteroid = gene_modifier + exogenous_supply
PSK,GENE,True,0,,0,,PSK = gene_modifier + exogenous_supply
XsAP2 gene(s),GENE,True,0,,0,,XsAP2 gene(s) = gene_modifier + exogenous_supply
CHR7,GENE,True,0,,0,,CHR7 = gene_modifier + exogenous_supply
transgenic A. thalia,GENE,True,0,,0,,transgenic A. thalia = gene_modifier + exogenous_supply
A. thaliana mutants,GENE,True,0,,0,,A. thaliana mutants = gene_modifier + exogenous_supply
parent-of-origin eff,GENE,True,0,,0,,parent-of-origin eff = gene_modifier + exogenous_supply
TaZIP gene(s),GENE,True,0,,0,,TaZIP gene(s) = gene_modifier + exogenous_supply
HAIKU,GENE,True,0,,0,,HAIKU = gene_modifier + exogenous_supply
OES,GENE,True,0,,0,,OES = gene_modifier + exogenous_supply
MINI3,GENE,True,0,,0,,MINI3 = gene_modifier + exogenous_supply
KLU,GENE,True,0,,0,,KLU = gene_modifier + exogenous_supply
Maternal and paterna,GENE,True,0,,0,,Maternal and paterna = gene_modifier + exogenous_supply
DDM2,GENE,True,0,,0,,DDM2 = gene_modifier + exogenous_supply
DA1,GENE,True,0,,0,,DA1 = gene_modifier + exogenous_supply
nutrient sink effect,GENE,True,0,,0,,nutrient sink effect = gene_modifier + exogenous_supply
AP2,GENE,True,0,,0,,AP2 = gene_modifier + exogenous_supply
ANT,GENE,True,0,,0,,ANT = gene_modifier + exogenous_supply
AN3,GENE,True,0,,0,,AN3 = gene_modifier + exogenous_supply
ARF2,GENE,True,0,,0,,ARF2 = gene_modifier + exogenous_supply
life history,GENE,True,0,,0,,life history = gene_modifier + exogenous_supply
VVAGL12,GENE,True,0,,0,,VVAGL12 = gene_modifier + exogenous_supply
Reduced expression o,GENE,True,0,,0,,Reduced expression o = gene_modifier + exogenous_supply
EOD3,GENE,True,0,,0,,EOD3 = gene_modifier + exogenous_supply
DA2,GENE,True,0,,0,,DA2 = gene_modifier + exogenous_supply
YUC4,GENE,True,0,,0,,YUC4 = gene_modifier + exogenous_supply
CKX2,GENE,True,0,,0,,CKX2 = gene_modifier + exogenous_supply
ABAP1,GENE,True,0,,0,,ABAP1 = gene_modifier + exogenous_supply
limitation in nutrie,GENE,True,0,,0,,limitation in nutrie = gene_modifier + exogenous_supply
AUXIN,GENE,True,0,,0,,AUXIN = gene_modifier + exogenous_supply
EOD1,GENE,True,0,,0,,EOD1 = gene_modifier + exogenous_supply
EMBRYO,GENE,True,0,,0,,EMBRYO = gene_modifier + exogenous_supply
T-6b,GENE,True,0,,0,,T-6b = gene_modifier + exogenous_supply
IMPRINTING,GENE,True,0,,0,,IMPRINTING = gene_modifier + exogenous_supply
transition from sync,GENE,True,0,,0,,transition from sync = gene_modifier + exogenous_supply
BZR1,GENE,True,0,,0,,BZR1 = gene_modifier + exogenous_supply
DPA4,GENE,True,0,,0,,DPA4 = gene_modifier + exogenous_supply
genome balance in en,GENE,True,0,,0,,genome balance in en = gene_modifier + exogenous_supply
AGC1,GENE,True,0,,0,,AGC1 = gene_modifier + exogenous_supply
ATFAX1,GENE,True,0,,0,,ATFAX1 = gene_modifier + exogenous_supply
UBP15,GENE,True,0,,0,,UBP15 = gene_modifier + exogenous_supply
P1W,GENE,True,0,,0,,P1W = gene_modifier + exogenous_supply
T540,GENE,True,0,,0,,T540 = gene_modifier + exogenous_supply
paternal genome exce,GENE,True,0,,0,,paternal genome exce = gene_modifier + exogenous_supply
CHD3,GENE,True,0,,0,,CHD3 = gene_modifier + exogenous_supply
EMB71,GENE,True,0,,0,,EMB71 = gene_modifier + exogenous_supply
truncated R domain,GENE,True,0,,0,,truncated R domain = gene_modifier + exogenous_supply
AGL63,GENE,True,0,,0,,AGL63 = gene_modifier + exogenous_supply
reduced seed product,GENE,True,0,,0,,reduced seed product = gene_modifier + exogenous_supply
SHB1,GENE,True,0,,0,,SHB1 = gene_modifier + exogenous_supply
loss of ULTRAPETALA1,GENE,True,0,,0,,loss of ULTRAPETALA1 = gene_modifier + exogenous_supply
PMEI6,GENE,True,0,,0,,PMEI6 = gene_modifier + exogenous_supply
Specific mutations,GENE,True,0,,0,,Specific mutations = gene_modifier + exogenous_supply
early expansion of c,GENE,True,0,,0,,early expansion of c = gene_modifier + exogenous_supply
ATMPK10,GENE,True,0,,0,,ATMPK10 = gene_modifier + exogenous_supply
growth conditions,GENE,True,0,,0,,growth conditions = gene_modifier + exogenous_supply
AMI1,GENE,True,0,,0,,AMI1 = gene_modifier + exogenous_supply
GMMYB73,GENE,True,0,,0,,GMMYB73 = gene_modifier + exogenous_supply
APUM24,GENE,True,0,,0,,APUM24 = gene_modifier + exogenous_supply
cytonuclear interact,GENE,True,0,,0,,cytonuclear interact = gene_modifier + exogenous_supply
AGL,GENE,True,0,,0,,AGL = gene_modifier + exogenous_supply
AGL62,GENE,True,0,,0,,AGL62 = gene_modifier + exogenous_supply
Maternal excess hybr,GENE,True,0,,0,,Maternal excess hybr = gene_modifier + exogenous_supply
STPL,GENE,True,0,,0,,STPL = gene_modifier + exogenous_supply
soluble sugar accumu,GENE,True,0,,0,,soluble sugar accumu = gene_modifier + exogenous_supply
GhDA1-1AR301K mutant,GENE,True,0,,0,,GhDA1-1AR301K mutant = gene_modifier + exogenous_supply
CYCD7,GENE,True,0,,0,,CYCD7 = gene_modifier + exogenous_supply
ATWRKY6,GENE,True,0,,0,,ATWRKY6 = gene_modifier + exogenous_supply
GAI,GENE,True,0,,0,,GAI = gene_modifier + exogenous_supply
Defoliation during f,GENE,True,0,,0,,Defoliation during f = gene_modifier + exogenous_supply
MEE45,GENE,True,0,,0,,MEE45 = gene_modifier + exogenous_supply
IKU2,GENE,True,0,,0,,IKU2 = gene_modifier + exogenous_supply
BRI1,GENE,True,0,,0,,BRI1 = gene_modifier + exogenous_supply
Sibling abortion,GENE,True,0,,0,,Sibling abortion = gene_modifier + exogenous_supply
Overexpression of Gh,GENE,True,0,,0,,Overexpression of Gh = gene_modifier + exogenous_supply
TTG2,GENE,True,0,,0,,TTG2 = gene_modifier + exogenous_supply
IKU1,GENE,True,0,,0,,IKU1 = gene_modifier + exogenous_supply
parental genome dosa,GENE,True,0,,0,,parental genome dosa = gene_modifier + exogenous_supply
HDG9,GENE,True,0,,0,,HDG9 = gene_modifier + exogenous_supply
TT15,GENE,True,0,,0,,TT15 = gene_modifier + exogenous_supply
GhDA1-1AR301K,GENE,True,0,,0,,GhDA1-1AR301K = gene_modifier + exogenous_supply
NODGTT5,GENE,True,0,,0,,NODGTT5 = gene_modifier + exogenous_supply
TASERK1,GENE,True,0,,0,,TASERK1 = gene_modifier + exogenous_supply
altered expression,GENE,True,0,,0,,altered expression = gene_modifier + exogenous_supply
SOD7,GENE,True,0,,0,,SOD7 = gene_modifier + exogenous_supply
TaNAK1.2,GENE,True,0,,0,,TaNAK1.2 = gene_modifier + exogenous_supply
constitutive express,GENE,True,0,,0,,constitutive express = gene_modifier + exogenous_supply
LPFC,GENE,True,0,,0,,LPFC = gene_modifier + exogenous_supply
MYCS,GENE,True,0,,0,,MYCS = gene_modifier + exogenous_supply
lipopeptide treatmen,GENE,True,0,,0,,lipopeptide treatmen = gene_modifier + exogenous_supply
autotetraploidy,GENE,True,0,,0,,autotetraploidy = gene_modifier + exogenous_supply
CLE8,GENE,True,0,,0,,CLE8 = gene_modifier + exogenous_supply
low redox buffering ,GENE,True,0,,0,,low redox buffering  = gene_modifier + exogenous_supply
BnLEA3 gene(s),GENE,True,0,,0,,BnLEA3 gene(s) = gene_modifier + exogenous_supply
16 gene(s),GENE,True,0,,0,,16 gene(s) = gene_modifier + exogenous_supply
parental origin,GENE,True,0,,0,,parental origin = gene_modifier + exogenous_supply
TEMPERATURE,GENE,True,0,,0,,TEMPERATURE = gene_modifier + exogenous_supply
Overexpression of Gm,GENE,True,0,,0,,Overexpression of Gm = gene_modifier + exogenous_supply
UMAMIT25,GENE,True,0,,0,,UMAMIT25 = gene_modifier + exogenous_supply
Lack of water,GENE,True,0,,0,,Lack of water = gene_modifier + exogenous_supply
paternal inheritance,GENE,True,0,,0,,paternal inheritance = gene_modifier + exogenous_supply
BSK3,GENE,True,0,,0,,BSK3 = gene_modifier + exogenous_supply
RPT2,GENE,True,0,,0,,RPT2 = gene_modifier + exogenous_supply
Endosperm developmen,GENE,True,0,,0,,Endosperm developmen = gene_modifier + exogenous_supply
NR,GENE,True,0,,0,,NR = gene_modifier + exogenous_supply
AGL11,GENE,True,0,,0,,AGL11 = gene_modifier + exogenous_supply
