node,node_type,activators,inhibitors,formula
VCTCP18,,,,VCTCP18 = 1.0 * 1.0 * gene_modifier + exogenous
EBE,,,,EBE = 1.0 * 1.0 * gene_modifier + exogenous
CUC2,,,,CUC2 = 1.0 * 1.0 * gene_modifier + exogenous
Overexpression of Md,,,,Overexpression of Md = 1.0 * 1.0 * gene_modifier + exogenous
SPL9,,,,SPL9 = 1.0 * 1.0 * gene_modifier + exogenous
Verticillium longisp,,,,Verticillium longisp = 1.0 * 1.0 * gene_modifier + exogenous
SUGARS,,,,SUGARS = 1.0 * 1.0 * gene_modifier + exogenous
R_FR_Ratio,,,,R_FR_Ratio = 1.0 * 1.0 * gene_modifier + exogenous
TDIF,,,,TDIF = 1.0 * 1.0 * gene_modifier + exogenous
ARR1,,,,ARR1 = 1.0 * 1.0 * gene_modifier + exogenous
RanBP domain-contain,,,,RanBP domain-contain = 1.0 * 1.0 * gene_modifier + exogenous
ABA,,,,ABA = 1.0 * 1.0 * gene_modifier + exogenous
BRCA1,,,,BRCA1 = 1.0 * 1.0 * gene_modifier + exogenous
CLE41,,,,CLE41 = 1.0 * 1.0 * gene_modifier + exogenous
Red Light,,,,Red Light = 1.0 * 1.0 * gene_modifier + exogenous
BRC2,,,,BRC2 = 1.0 * 1.0 * gene_modifier + exogenous
ERF114,,,,ERF114 = 1.0 * 1.0 * gene_modifier + exogenous
IPT,,,,IPT = 1.0 * 1.0 * gene_modifier + exogenous
MBD9,,,,MBD9 = 1.0 * 1.0 * gene_modifier + exogenous
MAX1,,,,MAX1 = 1.0 * 1.0 * gene_modifier + exogenous
Decapitation,,,,Decapitation = 1.0 * 1.0 * gene_modifier + exogenous
AXR1,,,,AXR1 = 1.0 * 1.0 * gene_modifier + exogenous
AMS,,,,AMS = 1.0 * 1.0 * gene_modifier + exogenous
CUC1,,,,CUC1 = 1.0 * 1.0 * gene_modifier + exogenous
AP2,,,,AP2 = 1.0 * 1.0 * gene_modifier + exogenous
BRC,,,,BRC = 1.0 * 1.0 * gene_modifier + exogenous
BrMYC2/3-1OE,,,,BrMYC2/3-1OE = 1.0 * 1.0 * gene_modifier + exogenous
FRI_COMPLEX,,,,FRI_COMPLEX = 1.0 * 1.0 * gene_modifier + exogenous
