source,source_type,target,target_type,effect,edge_type,confidence,mechanism,doi,paper_title,authors,year,journal,evidence_sentence,verification,species_validated
BES1,GENE,Hypocotyl_Length,PHENOTYPE,activation,transcriptional,HIGH,BES1 acts redundantly with BZR1 to activate cell elongation genes,,,,,,BZR1 and BZR2/BES1 both activate and repress roughly equal numbers of target genes,,
BIN2,GENE,BES1,GENE,inhibition,post-translational,HIGH,BIN2 phosphorylates BES1/BZR2 to inhibit its activity,,,,,,BIN2 phosphorylates BZR2 to inhibit its activity,,
BIN2,GENE,BZR1,GENE,inhibition,post-translational,HIGH,BIN2 phosphorylates BZR1 to retain it in cytoplasm and inhibit DNA binding,,,,,,BIN2 phosphorylates BZR1 to inhibit nuclear localization and DNA-binding activity,,
BIN2,GENE,HSFA1d,GENE,inhibition,post-translational,HIGH,BIN2 phosphorylates HSFA1d NLS preventing nuclear localization,,,,,,BIN2 inhibits nuclear translocation of HSFA1d by phosphorylating its NLS motif,,
BIN2,GENE,Hypocotyl_Length,PHENOTYPE,inhibition,indirect,HIGH,"BIN2 GSK3 kinase represses growth via phosphorylation of BZR1/BES1; bin2-1 gain-of-function gives dwarf hypocotyl, bin2 loss-of-function gives long",,,,,,BIN2 phosphorylates BZR1 and BES1 inhibiting their activity,,
BIN2,GENE,PIF3,GENE,inhibition,post-translational,HIGH,"BIN2 GSK3 kinase phosphorylates PIF3 at T220/S224 and S283/S287 motifs, triggering 26S proteasome degradation in skotomorphogenesis",,,,,,BIN2 kinase induces PIF3 degradation via 26S proteasome during skotomorphogenesis,,
BIN2,GENE,PIF4,GENE,inhibition,post-translational,HIGH,BIN2 phosphorylates PIF4 and marks it for proteasomal degradation,,,,,,"BIN2 phosphorylates PIF4 as well as BZR1, and this phosphorylation marks PIF4 for 26S proteasome-mediated degradation",,
BR,HORMONE,BRI1,GENE,activation,ligand_binding,HIGH,Brassinosteroid binds to extracellular LRR-island domain of BRI1 receptor kinase,,,,,,BR directly binds to extracellular domain of BRI1 at pocket formed by island loop,,
BR,HORMONE,Hypocotyl_Length,PHENOTYPE,activation,signaling,HIGH,Brassinosteroid signaling promotes hypocotyl elongation via BZR1/BES1; BR-deficient mutants are dwarfs,,,,,,BR signaling promotes hypocotyl elongation,,
BRI1,GENE,BAK1,GENE,activation,post-translational,HIGH,BR-bound BRI1 dimerizes with BAK1 co-receptor and transphosphorylates it,,,,,,BR acts as molecular glue to bring together BRI1 and BAK1; sequential transphosphorylation activates kinases,,
BRI1,GENE,BSK1,GENE,activation,post-translational,HIGH,BRI1 phosphorylates plasma membrane-anchored BSK1 kinase,,,,,,"BRI1 phosphorylates members of plasma membrane-anchored cytoplasmic kinases, BRASSINOSTEROID-SIGNALLING KINASE1",,
BSK1,GENE,BSU1,GENE,activation,post-translational,HIGH,BSK1/CDG1 phosphorylates BSU1 phosphatase activating it,,,,,,CDG1 phosphorylates BRI1-SUPPRESSOR1 phosphatase,,
BSU1,GENE,BIN2,GENE,inhibition,post-translational,HIGH,BSU1 phosphatase dephosphorylates and inactivates GSK3 kinase BIN2,,,,,,BSU1 phosphatase dephosphorylates and inactivates GSK3-like kinase BIN2,,
BZR1,GENE,ARF6,GENE,activation,post-translational,HIGH,BZR1 physically interacts with ARF6 and enhances ARF6 binding to shared promoters,,,,,,BZR1 and PIF4 interact with ARF6 directly and enhance its binding to shared promoters,,
BZR1,GENE,DWF4,GENE,inhibition,transcriptional,HIGH,"BZR1 negatively feeds back to DWF4 transcription, maintaining BR homeostasis",,,,,,BZR1 represses BR biosynthetic gene DWF4 forming negative feedback,,
BZR1,GENE,Hypocotyl_Length,PHENOTYPE,activation,transcriptional,HIGH,"BZR1 transcriptionally activates cell elongation genes (PRE, SAUR), and represses BR biosynthesis genes (feedback)",,,,,,bes1-D dominant mutant shows BR-hypersensitive phenotype with increased elongation,,
BZR1,GENE,PIF4,GENE,activation,post-translational,HIGH,BZR1 directly binds PIF4 forming heterodimer that cooperatively activates shared targets (cell elongation genes),,,,,,BZR1 and PIFs directly interact and co-regulate shared target genes; cooperatively regulate large numbers of common target genes,,
BZR1,GENE,PRE1,GENE,activation,transcriptional,HIGH,BZR1 activates PRE family of HLH growth-promoting factors,,,,,,"BZR1, ARF6, and PIF4 directly activate members of PACLOBUTRAZOL RESISTANCE family of HLH factors",,
CCA1,GENE,Hypocotyl_Length,PHENOTYPE,inhibition,transcriptional,MEDIUM,CCA1 indirectly inhibits hypocotyl elongation via clock; cca1 lhy double has long hypocotyl,,,,,,cca1 lhy double mutant has elongated hypocotyl,,
CCA1,GENE,PRR7,GENE,inhibition,transcriptional,MEDIUM,CCA1 represses PRR7 promoter at dusk,,,,,,CCA1 and LHY directly repress evening genes,,
CCA1,GENE,PRR9,GENE,inhibition,transcriptional,MEDIUM,CCA1 directly represses PRR9 evening transcription as part of the morning-loop reciprocal regulation; cca1 mutants show derepressed PRR9,,,,,,"CCA1 and LHY directly repress evening genes including PRR9, completing the core circadian feedback loop",,
CCA1,GENE,TOC1,GENE,inhibition,transcriptional,HIGH,CCA1 directly binds TOC1 promoter to repress evening transcription (core morning loop),,,,,,CCA1 and LHY directly repress TOC1 transcription,,
COG1,GENE,PIF4,GENE,activation,transcriptional,HIGH,COG1 binds PIF4 promoter and activates expression to increase BR biosynthesis,,,,,,COG1 binds directly to the promoter regions of PIF4 and PIF5 to regulate their expression,,
COG1,GENE,PIF5,GENE,activation,transcriptional,HIGH,COG1 binds PIF5 promoter and activates expression,,,,,,COG1 binds promoter regions of PIF4 and PIF5,,
COP1,GENE,BBX21,GENE,inhibition,post-translational,HIGH,COP1 ubiquitinates BBX21 in dark for proteasomal degradation,,,,,,BBX21 is targeted for 26S proteasome-mediated degradation in darkness in a COP1-dependent manner,,
COP1,GENE,BIN2,GENE,inhibition,post-translational,HIGH,COP1 directly binds BIN2 N-terminus and inhibits BIN2 kinase activity toward PIF3 in dark,,,,,,COP1 directly interacts with BIN2 in vitro and in vivo; presence of COP1/SPA reduces BIN2-PIF3 interaction,,
COP1,GENE,HFR1,GENE,inhibition,post-translational,HIGH,COP1 ubiquitinates HFR1 (LONG HYPOCOTYL IN FAR RED) for degradation,,,,,,COP1 targets HFR1 for degradation,,
COP1,GENE,HSFA1d,GENE,activation,post-translational,HIGH,COP1 facilitates HSFA1d nuclear localization by inhibiting BIN2 (non-canonical role),,,,,,COP1 facilitates warm temperature-triggered HSFA1d nuclear localization by suppressing BIN2-mediated HSFA1d phosphorylation,,
COP1,GENE,HY5,GENE,inhibition,post-translational,HIGH,"COP1-SPA E3 ubiquitin ligase polyubiquitinates HY5, targeting it for 26S proteasomal degradation in dark",,,,,,"COP1 targets different photomorphogenesis-promoting transcription factors for degradation in the dark, among them HY5",,
COP1,GENE,HYH,GENE,inhibition,post-translational,HIGH,COP1 ubiquitinates HYH for proteasomal degradation,,,,,,COP1-SPA complex interacts with and promotes ubiquitination and degradation of HY5/HYH,,
COP1,GENE,Hypocotyl_Length,PHENOTYPE,activation,indirect,HIGH,COP1 represses photomorphogenesis in dark by degrading HY5/HYH/LAF1/HFR1; cop1 loss → short hypocotyl in dark (constitutive photomorphogenesis),,,,,,cop1-4 mutants show shorter hypocotyls and fully opened cotyledons in darkness,,
COP1,GENE,LAF1,GENE,inhibition,post-translational,HIGH,COP1 ubiquitinates LAF1 for proteasomal degradation,,,,,,COP1 targets photomorphogenesis-promoting transcription factors LAF1 for ubiquitination,,
CPD,GENE,BR,HORMONE,activation,biosynthetic,HIGH,CPD (CYP90A1) catalyzes 23α-hydroxylation in BR biosynthesis,,,,,,CPD is defective in the 23α-hydroxylation step,,
CRY1,GENE,COP1,GENE,inhibition,post-translational,HIGH,"Blue-light-activated CRY1 binds SPA and disrupts COP1-SPA complex, blocking ubiquitination of HY5",,,,,,light-dependent suppression of protein degradation via CRY-SPA1/COP1 pathway,,
CRY1,GENE,Hypocotyl_Length,PHENOTYPE,inhibition,signaling,HIGH,"CRY1 mediates blue-light inhibition of hypocotyl elongation, primarily via inactivating COP1-SPA and stabilizing HY5",,,,,,Arabidopsis cry1 (hy4) mutants exhibit elongated hypocotyl under blue light,,
CRY1,GENE,PIF4,GENE,inhibition,post-translational,HIGH,Blue-light-activated CRY1 directly binds PIF4 and represses its transcriptional activity,,,,,,blue light-activated CRY1 directly interacts with PIF4 and represses PIF4 transcriptional activity,,
CRY1,GENE,PIF7,GENE,inhibition,post-translational,HIGH,Active CRY1 represses PIF7 activity in blue light,,,,,,PIF7 works downstream of both phyB and cry1,,
CRY2,GENE,COP1,GENE,inhibition,post-translational,HIGH,CRY2 binds SPA-COP1 complex to inhibit substrate ubiquitination,,,,,,COP1 interacts directly or indirectly with cryptochromes,,
CRY2,GENE,Hypocotyl_Length,PHENOTYPE,inhibition,signaling,HIGH,CRY2 mediates blue-light hypocotyl inhibition at low fluence rates and photoperiod control of flowering,,,,,,cry2 mutation shows evident effects under medium-low fluence blue light,,
CTR1,GENE,EIN2,GENE,inhibition,post-translational,HIGH,"CTR1 phosphorylates EIN2 C-terminus, retaining it at ER, in absence of ethylene",,,,,,active CTR1 phosphorylates EIN2 to suppress signaling,,
CTR1,GENE,Hypocotyl_Length,PHENOTYPE,activation,indirect,HIGH,CTR1 inhibits ethylene signaling; ctr1 loss-of-function gives constitutive triple response (short hypocotyl in dark),,,,,,ctr1-1 mutants display hypocotyls shorter than Col-0,,
DELLA,PROTEIN_COMPLEX,ARF6,GENE,inhibition,post-translational,HIGH,DELLA binds ARF6 to inhibit its DNA binding activity,,,,,,DELLA proteins inhibit DNA binding activities of ARF6,,
DELLA,PROTEIN_COMPLEX,BZR1,GENE,inhibition,post-translational,HIGH,DELLA directly binds BZR1 to inhibit DNA binding,,,,,,DELLA proteins inhibit DNA binding activities of BZR1,,
DELLA,PROTEIN_COMPLEX,Hypocotyl_Length,PHENOTYPE,inhibition,transcriptional,HIGH,DELLA represses elongation by sequestering PIF/BZR/ARF; DELLA degradation by GA derepresses growth,,,,,,GA-deficient mutants are extreme dwarfs with much reduced hypocotyl lengths,,
DELLA,PROTEIN_COMPLEX,PIF3,GENE,inhibition,post-translational,HIGH,DELLA binds PIF3 to block DNA binding,,,,,,"DELLA proteins directly interact with PIF3 and PIF4, inactivating their function",,
DELLA,PROTEIN_COMPLEX,PIF4,GENE,inhibition,post-translational,HIGH,"DELLA proteins directly bind PIF4 N-terminus, blocking PIF4 DNA binding",,,,,,DELLA proteins interact with and inhibit DNA binding activities of PIFs,,
DET1,GENE,Hypocotyl_Length,PHENOTYPE,activation,indirect,HIGH,DET1 represses photomorphogenesis in dark by stabilizing PIFs; det1 loss yields constitutive photomorphogenesis (short hypocotyl in dark),,,,,,Arabidopsis seedlings undergo photomorphogenic development even in darkness when DET1 function is disrupted,,
DET1,GENE,PIF1,GENE,activation,post-translational,HIGH,DET1 stabilizes PIF1 protein in dark; det1 reduces PIF1 abundance,,,,,,DET1 positively regulates all four PIFs at the protein level via posttranslational regulation,,
DET1,GENE,PIF3,GENE,activation,post-translational,HIGH,DET1 positively regulates PIF3 transcription and protein stability,,,,,,DET1 was shown to positively regulate PIF3 at the transcriptional level,,
DET1,GENE,PIF4,GENE,activation,post-translational,HIGH,DET1 stabilizes PIF4 protein in dark,,,,,,all four PIF-Myc proteins decayed significantly more rapidly in det1-1 than in wild-type background,,
DET1,GENE,PIF5,GENE,activation,post-translational,HIGH,DET1 stabilizes PIF5 protein in dark,,,,,,all four PIF-Myc proteins decayed significantly more rapidly in det1-1,,
DET2,GENE,BR,HORMONE,activation,biosynthetic,HIGH,DET2 (steroid 5α-reductase) catalyzes early step in BR biosynthesis,,,,,,DET2 catalyzes early step in brassinosteroid biosynthesis pathway,,
DWF4,GENE,BR,HORMONE,activation,biosynthetic,HIGH,"DWF4 (CYP90B1) catalyzes 22α-hydroxylation, a rate-limiting step in BR biosynthesis",,,,,,DWF4 plays a role in brassinosteroid biosynthesis,,
EBF1,GENE,EIL1,GENE,inhibition,post-translational,HIGH,EBF1 also targets EIL1 for degradation,,,,,,EIL1 is subject to SCFEBF1/EBF2-mediated degradation,,
EBF1,GENE,EIN3,GENE,inhibition,post-translational,HIGH,EBF1 F-box protein recruits EIN3 to SCF E3 ligase for proteasomal degradation,,,,,,"EIN3 proteolysis is mediated by two F-box proteins, EBF1 and EBF2",,
EBF2,GENE,EIL1,GENE,inhibition,post-translational,HIGH,EBF2 targets EIL1,,,,,,EIL1 is subject to SCFEBF1/EBF2-mediated degradation,,
EBF2,GENE,EIN3,GENE,inhibition,post-translational,HIGH,EBF2 F-box recruits EIN3 for degradation,,,,,,EBF2 mediates EIN3 degradation,,
EIN2,GENE,EIL1,GENE,activation,post-translational,HIGH,EIN2 stabilizes EIL1 by promoting EBF1/2 degradation,,,,,,Ethylene-induced stabilization of EIN3 and EIL1 requires EIN2,,
EIN2,GENE,EIN3,GENE,activation,post-translational,HIGH,"Dephosphorylated EIN2 C-terminus translocates to nucleus and inhibits EBF1/2 mRNA translation, stabilizing EIN3",,,,,,Ethylene-induced stabilization of EIN3 requires EIN2,,
EIN2,GENE,Hypocotyl_Length,PHENOTYPE,inhibition,indirect,HIGH,EIN2 transmits ethylene signal; ein2 mutants are insensitive (longer in dark + ACC),,,,,,ein2 mutant is ethylene insensitive (longer hypocotyls),,
EIN3,GENE,APD7,GENE,activation,transcriptional,MEDIUM,"EIN3 binds APD7 promoter (PP2C-D phosphatase), suppressing H+-ATPase activity",,,,,,EIN3 binds to the promoter of APD7 and induces its expression,,
EIN3,GENE,EBF2,GENE,activation,transcriptional,HIGH,"EIN3 binds EBF2 promoter and activates transcription, forming negative feedback",,,,,,EBF2 is transcriptionally induced by EIN3 that directly binds promoter of EBF2,,
EIN3,GENE,ERF1,GENE,activation,transcriptional,HIGH,"EIN3 directly activates ERF1 transcription, restricting hypocotyl elongation",,,,,,"EIN3 directly activates its target transcription factor ERF1, which restricts hypocotyl elongation",,
EIN3,GENE,Hypocotyl_Length,PHENOTYPE,inhibition,transcriptional,HIGH,EIN3 represses dark-grown hypocotyl elongation as part of triple response,,,,,,EIN3 overexpression shows ethylene hypersensitivity (short hypocotyl in dark),,
EIN3,GENE,PIF3,GENE,activation,transcriptional,MEDIUM,"EIN3 activates PIF3 transcription in light, contributing to ethylene-induced apical hook",,,,,,ethylene induces the transcription of PIF3 through EIN3,,
ELF3,GENE,ELF3_complex,PROTEIN_COMPLEX,activation,post-translational,HIGH,ELF3 is the bridging subunit of the Evening Complex (with ELF4 and LUX),,,,,,ELF3 is both necessary and sufficient to form a complex between ELF4 and LUX,,
ELF3,GENE,ELF4,GENE,activation,post-translational,HIGH,ELF3 is required and sufficient as bridge for ELF4-LUX assembly into Evening Complex,,,,,,ELF3 is both necessary and sufficient to form a complex between ELF4 and LUX,,
ELF3,GENE,GI,GENE,inhibition,transcriptional,HIGH,ELF3 binds GI promoter to repress transcription,,,,,,Loss of ELF3 resulted in increased GI transcript levels; ELF3 represses GI transcription,,
ELF3,GENE,Hypocotyl_Length,PHENOTYPE,inhibition,indirect,HIGH,ELF3 represses hypocotyl elongation via PIF4 and GI repression; elf3 mutants have constitutive long hypocotyls,,,,,,elf3 mutant displays a constitutive thermomorphogenic phenotype (elongated hypocotyls) at 22°C,,
ELF3,GENE,LUX,GENE,activation,post-translational,HIGH,ELF3 binds LUX to form Evening Complex enabling LUX DNA binding to PIF4 promoter,,,,,,ELF3 is necessary and sufficient to form a complex between ELF4 and LUX,,
ELF3,GENE,PIF4,GENE,inhibition,transcriptional,HIGH,Evening Complex (ELF3-ELF4-LUX) directly binds PIF4 promoter to repress transcription,,,,,,The Evening Complex directly binds to the promoters of PIF4 and PIF5 and represses their expression,,
ELF3,GENE,PIF5,GENE,inhibition,transcriptional,HIGH,EC binds PIF5 promoter to repress transcription,,,,,,Evening Complex binds promoters of PIF4 and PIF5,,
ELF3_complex,PROTEIN_COMPLEX,PIF4,GENE,inhibition,transcriptional,HIGH,Evening Complex binds PIF4 promoter via LUX MYB-like DNA-binding domain to repress transcription,,,,,,LUX targets the complex to promoters of PIF4 and PIF5 in vivo,,
ELF3_complex,PROTEIN_COMPLEX,PIF5,GENE,inhibition,transcriptional,HIGH,EC binds PIF5 promoter via LUX,,,,,,Evening Complex regulates PIF5 and PIF4 expression through recruitment by LUX,,
ELF4,GENE,ELF3_complex,PROTEIN_COMPLEX,activation,post-translational,HIGH,ELF4 is a subunit of the Evening Complex,,,,,,ELF4-ELF3-LUX complex forms the Evening Complex,,
ELF4,GENE,Hypocotyl_Length,PHENOTYPE,inhibition,indirect,HIGH,ELF4 component of EC represses hypocotyl elongation,,,,,,elf4 mutant has long hypocotyl phenotype,,
ELF4,GENE,PIF4,GENE,inhibition,transcriptional,HIGH,ELF4 component of EC binds PIF4 promoter to repress at dusk,,,,,,Evening Complex (ELF3/ELF4/LUX) directly binds promoters of PIF4 and PIF5,,
ETR1,GENE,CTR1,GENE,activation,post-translational,HIGH,Unbound ETR1 keeps CTR1 active (inhibiting EIN2),,,,,,active CTR1 in absence of ethylene,,
Ethylene,HORMONE,ETR1,GENE,inhibition,ligand_binding,HIGH,Ethylene binding to ETR1 receptor inactivates downstream CTR1 kinase,,,,,,ethylene receptors bind ethylene and inactivate CTR1,,
Ethylene,HORMONE,Hypocotyl_Length,PHENOTYPE,inhibition,signaling,HIGH,Ethylene inhibits hypocotyl elongation in dark (triple response) via EIN3-ERF1; promotes elongation in light via auxin biosynthesis,,,,,,ACC treatment shortens hypocotyl in dark (triple response),,
FCA,GENE,PIF4,GENE,inhibition,post-translational,MEDIUM,"FCA RNA-binding protein removes H3K4me2 from YUC8 promoter, reducing PIF4-mediated activation",,,,,,FCA inhibits PIF4 binding to its target YUC8 promoter by removing H3K4me2 from the YUC8 promoter,,
GA1,GENE,GA4,HORMONE,activation,biosynthetic,HIGH,GA1 (CPS) catalyzes first committed step in GA biosynthesis (GGPP → CPP),,,,,,ga1-3 mutant shows extreme dwarf phenotype,,
GA20ox1,GENE,GA4,HORMONE,activation,biosynthetic,HIGH,GA20ox1 catalyzes oxidation steps producing GA9 precursor,,,,,,GA20ox1 plays a more prominent role in elongation,,
GA2ox1,GENE,GA4,HORMONE,inhibition,catabolic,HIGH,GA2ox catalyzes 2β-hydroxylation inactivating bioactive GAs,,,,,,GA2ox overexpression lines show late flowering and dwarf phenotypes,,
GA3ox1,GENE,GA4,HORMONE,activation,biosynthetic,HIGH,GA3ox1 catalyzes 3β-hydroxylation producing bioactive GA4,,,,,,GA3ox1 has predominant role in plant development; ga3ox1 mutant displays semi-dwarf phenotype,,
GA4,HORMONE,GID1,GENE,activation,ligand_binding,HIGH,GA4 binds GID1 receptor to induce conformational change enabling DELLA recruitment,,,,,,GA-GID1 binding induces DELLA degradation,,
GA4_hormone,HORMONE,Hypocotyl_Length,PHENOTYPE,activation,signaling,HIGH,Bioactive GA promotes hypocotyl elongation by inducing DELLA degradation,,,,,,GA promotes hypocotyl and stem elongation,,
GAI,GENE,DELLA,PROTEIN_COMPLEX,activation,structural,HIGH,GAI is a DELLA family member contributing to the DELLA repressor pool,,,,,,GAI and RGA are closely related DELLA-family GA-signaling repressors,,
GI,GENE,Hypocotyl_Length,PHENOTYPE,inhibition,indirect,HIGH,GI restricts thermomorphogenic elongation via TOC1 and direct PIF4 inhibition,,,,,,gi-2 showed increased hypocotyl elongation at high temperatures,,
GI,GENE,PIF4,GENE,inhibition,post-translational,HIGH,"GI inhibits PIF4 protein activity, partially via TOC1, providing negative feedback on thermomorphogenesis",,,,,,GI inhibits PIF4 by preventing PIF4 overactivation; this inhibition depends partially on TOC1,,
GI,GENE,TOC1,GENE,activation,transcriptional,HIGH,GI binds TOC1 promoter and activates transcription at high temperature at night,,,,,,GI is necessary for high temperature-induced elevation of TOC1 transcription,,
GID1,GENE,DELLA,PROTEIN_COMPLEX,inhibition,post-translational,HIGH,GA-GID1 binds DELLA and recruits SCF(SLY1) for ubiquitination and degradation,,,,,,GA-GID1 binding induces DELLA ubiquitination by SCFSLY1,,
GRF4,GENE,BZR1,GENE,inhibition,post-translational,HIGH,14-3-3 protein GRF4 binds phosphorylated BZR1 and retains it in cytoplasm,,,,,,GRF4 (14-3-3 protein) retains phosphorylated BZR1 in cytoplasm,,
HBI1,GENE,Hypocotyl_Length,PHENOTYPE,activation,transcriptional,HIGH,HBI1 activates cell elongation genes overlapping with PIF targets,,,,,,HBI1 target genes mostly also direct targets of PIFs; HBI1 activates many common target genes involved in cell elongation,,
HFR1,GENE,Hypocotyl_Length,PHENOTYPE,inhibition,indirect,HIGH,HFR1 inhibits hypocotyl elongation under shade by antagonizing PIF action,,,,,,HFR1 sequesters PIFs preventing hypocotyl elongation,,
HFR1,GENE,PIF4,GENE,inhibition,post-translational,HIGH,"HFR1 forms non-DNA-binding heterodimer with PIF4, sequestering it from DNA targets",,,,,,"HFR1 and PAR1 are atypical bHLH transcription factors that directly interact with PIF4/PIF5, and form a non-DNA-binding heterodimer",,
HMR,GENE,PIF4,GENE,activation,post-translational,HIGH,HMR (transcriptional activator with 9aaTAD) stabilizes PIF4,,,,,,Daytime PIF4 stabilization depends on transcriptional activator HEMERA (HMR),,
HSFA1a,GENE,PIF4,GENE,activation,post-translational,HIGH,HSFA1a stabilizes PIF4 redundantly with HSFA1d,,,,,,PIF4 could interact with HSFA1a and HSFA1b,,
HSFA1b,GENE,PIF4,GENE,activation,post-translational,HIGH,HSFA1b stabilizes PIF4,,,,,,PIF4 could interact with HSFA1a and HSFA1b,,
